match,PSW,win0,confidence0,date
35665,1.84,0,1.546777109418597,2021-08-18
31946,2.32,1,1.5460199642181398,2019-08-20
35906,2.6,1,1.5457295203208925,2021-09-23
35443,2.33,1,1.5454932766159375,2021-07-21
27368,2.65,1,1.5424531539281208,2017-03-15
37142,1.62,0,1.542280967036883,2022-04-11
37192,1.61,0,1.5418619093298913,2022-04-18
26681,2.46,1,1.5417385003566741,2017-01-02
38588,2.54,1,1.5412804904580117,2022-10-03
35188,2.44,1,1.5370664205551146,2021-06-23
31041,1.53,0,1.536734225253264,2019-05-16
38114,1.63,0,1.5364900457859039,2022-08-03
37154,1.66,0,1.5364202545583248,2022-04-12
28336,1.65,0,1.5347809576988223,2017-07-18
30977,2.85,1,1.5322777736932038,2019-05-07
29418,2.77,1,1.5304000130295754,2018-01-10
30329,1.58,0,1.530212401350339,2019-02-15
39142,1.64,0,1.530180042386055,2023-01-22
35280,1.74,0,1.5296166199445724,2021-06-30
31379,2.46,1,1.52955841422081,2019-06-24
38077,1.94,0,1.5293857550621033,2022-07-29
33358,1.73,0,1.5292901643117272,2020-09-23
38727,1.46,0,1.5292861701250078,2022-10-19
34026,1.77,0,1.5288909673690796,2021-02-10
36729,2.37,1,1.5288298532366753,2022-02-16
27115,2.57,1,1.5283169060945514,2017-02-20
35084,1.68,0,1.5281759554644425,2021-06-11
27412,2.32,1,1.5276015281677247,2017-03-24
34024,2.71,1,1.5259435637295247,2021-02-09
32605,2.73,1,1.5258804517239333,2020-01-17
38047,1.56,0,1.5254759120089667,2022-07-27
37147,1.75,0,1.524365098277728,2022-04-12
32896,1.58,0,1.523858049631119,2020-02-15
28469,2.33,1,1.522643416672945,2017-07-28
36558,2.12,1,1.5223037465413416,2022-02-02
33541,2.31,1,1.521933058798313,2020-10-14
38633,2.11,1,1.5217557471990584,2022-10-06
32403,1.55,0,1.5206292200088503,2019-10-21
35639,1.53,0,1.5163201455771924,2021-08-14
33716,1.74,0,1.515977785885334,2020-11-03
36792,1.64,0,1.5157337068021297,2022-02-21
33380,1.71,0,1.515185557504495,2020-09-27
32808,1.61,0,1.5145083868503573,2020-02-08
34189,1.58,0,1.5135963349342347,2021-03-02
30218,1.59,0,1.5134486120939254,2019-02-06
30634,2.1,1,1.5130918741226198,2019-03-21
28583,2.23,1,1.5113118679821493,2017-08-04
38361,2.22,1,1.5112780215740207,2022-08-30
34689,2.45,1,1.5109907454252247,2021-04-28
34263,1.56,0,1.5106847169995308,2021-03-10
34502,2.46,1,1.509006772041321,2021-04-06
38109,2.44,1,1.508911022345225,2022-08-02
31036,2.81,1,1.5080718245506286,2019-05-14
35422,2.57,1,1.5076929101347925,2021-07-20
27931,1.74,0,1.5071282540048876,2017-05-29
35395,1.75,0,1.506604454755783,2021-07-16
36782,1.48,0,1.5061594963073732,2022-02-19
31545,1.55,0,1.5061312566995622,2019-07-14
38563,2.13,1,1.5053910750150683,2022-09-29
27696,2.5,1,1.5053022404511769,2017-05-03
31692,1.71,0,1.5051835346221925,2019-07-26
39238,2.83,1,1.505089406498841,2023-02-13
38253,1.75,0,1.503272947243282,2022-08-17
33499,1.71,0,1.5031359727893554,2020-10-11
31013,2.71,1,1.5014997575879097,2019-05-12
35334,2.44,1,1.5006969122886658,2021-07-12
37764,2.13,1,1.5004310099780558,2022-06-23
34280,2.66,1,1.499897603094578,2021-03-11
33744,1.63,0,1.4986986113588017,2020-11-05
30743,1.6,0,1.4973434802144765,2019-04-10
38945,1.69,0,1.4958617559671403,2023-01-04
36282,2.44,1,1.4951268345969064,2021-11-21
37091,1.68,0,1.4943384544551372,2022-04-06
39227,2.22,1,1.4942810618877411,2023-02-11
34874,1.5,0,1.4925278864800928,2021-05-21
31607,2.14,1,1.4921216936906179,2019-07-19
37249,1.57,0,1.492026399448514,2022-04-22
30246,2.24,1,1.49151393254598,2019-02-08
36126,1.75,0,1.490600951910019,2021-10-24
38634,1.59,0,1.4904768830537796,2022-10-07
30914,1.61,0,1.4901187169551848,2019-04-30
29205,2.37,1,1.4897235808202198,2017-10-24
27174,1.76,0,1.4896766235147205,2017-02-24
37374,1.6,0,1.4895341107249258,2022-05-09
35436,1.74,0,1.4894167149066926,2021-07-20
38569,2.26,1,1.4891097739338874,2022-09-30
32554,2.48,1,1.4881106281280516,2020-01-12
29997,1.71,0,1.4878901138901708,2019-01-05
33763,1.58,0,1.4875749790668489,2020-11-10
29833,1.74,0,1.4868816211819649,2018-02-26
33659,2.44,1,1.4860673612356188,2020-10-27
30404,2.62,1,1.4852119190692903,2019-02-21
31718,1.81,0,1.4850945711135863,2019-07-29
28982,1.81,0,1.4840695361296337,2017-09-30
32657,2.19,1,1.4840066203900746,2020-01-21
27160,1.47,0,1.4839442922174932,2017-02-23
32250,1.6,0,1.4838651766628026,2019-10-03
34211,1.55,0,1.4833505762368437,2021-03-04
29312,1.73,0,1.4827257585525513,2018-01-01
27856,1.67,0,1.482448708638549,2017-05-22
37061,2.62,1,1.4821750725507736,2022-03-29
34777,1.79,0,1.4813514322042465,2021-05-10
36327,1.68,0,1.4809062405824662,2022-01-07
31193,2.55,1,1.4799260546054158,2019-05-29
30420,2.38,1,1.4799201515316964,2019-02-22
37240,1.55,0,1.4796557732224465,2022-04-22
35428,1.77,0,1.4787779784202577,2021-07-20
35806,2.4,1,1.478548264503479,2021-09-01
31032,2.34,1,1.4785441079735753,2019-05-14
31735,1.61,0,1.4781748950481417,2019-07-30
27125,1.86,0,1.4765653528273104,2017-02-21
27223,2.2,1,1.4765376249949138,2017-02-28
35057,1.72,0,1.474939689785242,2021-06-08
27138,1.81,0,1.4748536825180054,2017-02-21
27690,1.78,0,1.4740310858828682,2017-05-02
30277,1.7,0,1.4739563369750974,2019-02-12
