match,PSW,win0,confidence0,date,winner,,,correct prediction?,roi,net,,,,,,,,,,,,,,,,,,,,,,,,,
53809,4.55,1,2.735747674,8/18/2021,Paire B.,3.55,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47548,1.38,0,2.734010881,8/27/2018,Sock J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34103,3.85,1,2.733075865,7/10/2013,Berrer M.,2.85,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32144,1.36,0,2.728725219,10/2/2012,Raonic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30067,3.31,1,2.7171961,1/21/2012,Hewitt L.,2.31,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38756,3.28,1,2.716453938,5/13/2015,Bellucci T.,2.28,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42386,1.3,0,2.70899618,9/2/2016,Del Potro J.M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29899,4.43,1,2.705492147,1/6/2012,Monfils G.,3.43,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31576,4.81,1,2.696419725,7/18/2012,Blake J.,3.81,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38910,3.17,1,2.69107161,5/28/2015,Coric B.,2.17,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55588,4.03,1,2.689852969,5/22/2022,Griekspoor T.,3.03,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48739,3.73,1,2.688872691,3/10/2019,Nishioka Y.,2.73,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38093,3.75,1,2.688857381,2/19/2015,Nishioka Y.,2.75,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31592,3.97,1,2.681162711,7/19/2012,Muller G.,2.97,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45330,1.27,0,2.676145199,10/21/2017,Del Potro J.M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41643,3.9,1,2.673677013,6/14/2016,Verdasco F.,2.9,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38411,5.19,1,2.672557618,4/7/2015,De Greef A.,4.19,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34875,4.54,1,2.668603265,10/17/2013,De Schepper K.,3.54,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40811,1.32,0,2.665080305,2/25/2016,Fritz T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34691,1.21,0,2.654764676,9/19/2013,Tursunov D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33127,3.19,1,2.647632719,3/10/2013,Berlocq C.,2.19,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51286,1.21,0,2.64745628,8/31/2020,Fritz T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43718,3.27,1,2.646019756,4/19/2017,Struff J.L.,2.27,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31197,1.25,0,2.640864468,6/13/2012,Malisse X.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49590,1.29,0,2.639592635,7/1/2019,Haase R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52888,4.05,1,2.63594557,5/5/2021,Isner J.,3.05,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43300,1.23,0,2.632487288,2/21/2017,Gasquet R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44789,3.97,1,2.624526418,8/10/2017,Haase R.,2.97,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39124,3.74,1,2.619709667,6/29/2015,Millman J.,2.74,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29901,1.34,0,2.614474602,1/6/2012,Almagro N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37822,3.22,1,2.606080284,1/22/2015,Janowicz J.,2.22,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29998,3.35,1,2.603914899,1/17/2012,Andujar P.,2.35,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29897,3.26,1,2.602125291,1/5/2012,Sugita Y.,2.26,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46569,3.55,1,2.601062839,5/10/2018,Shapovalov D.,2.55,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40986,1.45,0,2.593162256,3/26/2016,Dolgopolov O.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49677,3.47,1,2.588867988,7/6/2019,Sousa J.,2.47,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49369,3.35,1,2.58878,5/30/2019,Caruso S.,2.35,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35256,2.85,1,2.58222833,1/17/2014,Robredo T.,1.85,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54490,1.34,0,2.577734765,1/12/2022,Cilic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43262,3.77,1,2.576792241,2/18/2017,Young D.,2.77,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34542,1.38,0,2.568612325,8/26/2013,Klahn B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37191,1.24,0,2.568008665,9/3/2014,Berdych T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47854,3.88,1,2.564340245,10/10/2018,Cecchinato M.,2.88,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46115,3.64,1,2.563242328,3/11/2018,Sela D.,2.64,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34811,3.79,1,2.561773368,10/10/2013,Monfils G.,2.79,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47697,1.33,0,2.560573404,9/21/2018,Bautista Agut R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47644,1.34,0,2.556244076,9/4/2018,Del Potro J.M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38813,1.35,0,2.553026028,5/21/2015,Coric B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
