match,PSW,win0,confidence0,date,winner,
56570,1.13,1,0.97306314,9/21/2022,Nakashima B.,0.13
52027,3.11,0,0.973031235,2/2/2021,Harris A.,-1
48860,5.4,0,0.973026875,3/26/2019,Bautista Agut R.,-1
51458,2.77,0,0.972990377,9/16/2020,Cilic M.,-1
53233,1.23,1,0.972977266,6/14/2021,Karatsev A.,0.23
47440,1.4,1,0.972966039,8/14/2018,Coric B.,0.4
54356,1.43,1,0.972961439,11/5/2021,Zverev A.,0.43
57022,1.89,1,0.972902951,1/2/2023,Djere L.,0.89
47104,2.15,0,0.972892438,7/13/2018,Anderson K.,-1
55144,1.14,1,0.972889464,3/26/2022,Medvedev D.,0.14
46710,1.33,1,0.97284504,5/28/2018,Gasquet R.,0.33
54973,14.05,0,0.9728048,2/24/2022,Vesely J.,-1
47788,1.36,1,0.972795305,10/3/2018,Kyrgios N.,0.36
48334,1.22,1,0.972779089,1/21/2019,Nishikori K.,0.22
52276,1.47,1,0.972771226,2/25/2021,Monteiro T.,0.47
47212,2.02,1,0.972768798,7/24/2018,Jarry N.,1.02
52548,1.5,1,0.972761571,3/25/2021,Kukushkin M.,0.5
49167,7.09,0,0.972760419,5/11/2019,Tsitsipas S.,-1
55001,2.99,0,0.972750594,3/10/2022,Djere L.,-1
45694,3.38,0,0.97272147,1/18/2018,Fucsovics M.,-1
56326,2.32,0,0.972718582,8/12/2022,Evans D.,-1
47473,1.54,1,0.972687048,8/17/2018,Cilic M.,0.54
46498,2.55,0,0.972685425,5/3/2018,Fabbiano T.,-1
47871,1.47,1,0.972681629,10/12/2018,Federer R.,0.47
50723,1.6,1,0.972652033,1/15/2020,Auger-Aliassime F.,0.6
49044,2.73,0,0.972626112,4/25/2019,Carballes Baena R.,-1
49715,1.31,1,0.972622527,7/16/2019,Balazs A.,0.31
46858,1.09,1,0.97261825,6/15/2018,Federer R.,0.09
53150,1.01,1,0.972585485,6/3/2021,Nadal R.,0.01
48077,1.12,1,0.972565775,11/17/2018,Djokovic N.,0.12
50167,1.18,1,0.972562009,8/27/2019,Isner J.,0.18
52705,1.19,1,0.97253924,4/14/2021,Fognini F.,0.19
53415,1.69,1,0.972534253,7/1/2021,Fritz T.,0.69
50689,1.29,1,0.972449145,1/8/2020,Rublev A.,0.29
52922,1.17,1,0.972436359,5/10/2021,Sinner J.,0.17
48317,1.35,1,0.972423625,1/18/2019,Tsitsipas S.,0.35
46491,2.05,0,0.972413818,5/3/2018,Fucsovics M.,-1
46895,1.38,1,0.972387015,6/19/2018,Edmund K.,0.38
49636,1.17,1,0.972347384,7/2/2019,Berrettini M.,0.17
56825,2.28,0,0.972337508,10/18/2022,Munar J.,-1
55694,1.16,1,0.97233685,5/28/2022,Ruud C.,0.16
55504,1.15,1,0.972308227,5/10/2022,Norrie C.,0.15
49362,1.09,1,0.972286008,5/30/2019,Del Potro J.M.,0.09
47510,2.94,0,0.972215169,8/22/2018,Krajinovic F.,-1
57254,1.08,1,0.972171243,1/27/2023,Djokovic N.,0.08
51461,5.81,0,0.972095373,9/17/2020,Hurkacz H.,-1
46170,2.95,0,0.972086699,3/21/2018,Ebden M.,-1
56188,1.37,1,0.972053015,7/29/2022,Isner J.,0.37
57139,1.37,1,0.972051137,1/16/2023,Sonego L.,0.37
55434,2.62,0,0.972048406,5/2/2022,Basilashvili N.,-1
53952,1.01,1,0.972044479,9/1/2021,Djokovic N.,0.01
54449,1.41,1,0.972004007,1/8/2022,Monfils G.,0.41
48532,1.81,1,0.971999307,2/19/2019,Kyrgios N.,0.81
46425,1.31,1,0.971965266,4/26/2018,Carreno Busta P.,0.31
54655,1.06,1,0.971959405,2/1/2022,Sousa J.,0.06
46002,1.29,1,0.971950733,2/27/2018,Kicker N.,0.29
51296,2.41,0,0.971857955,8/31/2020,Davidovich Fokina A.,-1
48480,2.6,0,0.971857879,2/14/2019,Schnur B.,-1
57043,1.62,1,0.971842985,1/3/2023,Korda S.,0.62
54749,1.26,1,0.97175703,2/9/2022,Auger-Aliassime F.,0.26
56990,1.12,1,0.971754589,11/3/2022,Auger-Aliassime F.,0.12
52918,1.25,1,0.971731469,5/10/2021,Garin C.,0.25
53789,2.77,0,0.971725745,8/17/2021,Dimitrov G.,-1
