match,PSW,win0,confidence0,date,winner,,,
31907,2.34,1,1.651902932,6/8/2021,Garcia Perez G.,1.34,67,
24304,1.65,0,1.651198142,9/19/2017,Cabrera L.,-1,-50,
31184,2.35,1,1.649775858,3/9/2021,Potapova A.,1.35,67.5,
24833,1.49,0,1.649418962,1/12/2018,Kerber A.,-1,-50,
25524,2.44,1,1.649403639,4/25/2018,Kerber A.,1.44,72,
30737,1.49,0,1.648995594,1/11/2021,Sabalenka A.,-1,-50,
30038,1.65,0,1.648376255,2/25/2020,Bencic B.,-1,-50,
33763,2.35,1,1.648279732,3/25/2022,Brengle M.,1.35,67.5,
33479,2.06,1,1.648126424,2/21/2022,Bronzetti L.,1.06,53,
26662,1.51,0,1.647592586,9/3/2018,Stephens S.,-1,-50,
22976,1.51,0,1.646781629,4/10/2017,Barthel M.,-1,-50,
27237,1.7,0,1.644893797,1/5/2019,Pliskova Ka.,-1,-50,
24445,2.16,1,1.644887863,9/30/2017,Duan Y.Y.,1.16,58,
23384,1.95,1,1.644526598,5/30/2017,Van Uytvanck A.,0.95,47.5,
24455,1.75,0,1.643876268,10/1/2017,Petkovic A.,-1,-50,
30307,2.45,1,1.643522904,9/1/2020,Gasparyan M.,1.45,72.5,
23356,2.08,1,1.642386534,5/29/2017,Witthoeft C.,1.08,54,
28931,1.83,0,1.641724354,8/9/2019,Bouzkova M.,-1,-50,
27416,1.78,0,1.641539598,1/20/2019,Barty A.,-1,-50,
34358,2.35,1,1.640765873,6/16/2022,Yastremska D.,1.35,67.5,
23216,2.75,1,1.639779968,5/15/2017,Cornet A.,1.75,87.5,
25956,1.56,0,1.63849704,6/12/2018,Bertens K.,-1,-50,
27498,1.69,0,1.638327423,2/12/2019,Suarez Navarro C.,-1,-50,
23630,1.55,0,1.637927338,7/3/2017,Garcia C.,-1,-50,
29361,2.54,1,1.636745798,9/23/2019,Zavatska K.,1.54,77,
25789,2.19,1,1.635619909,5/24/2018,Riske A.,1.19,59.5,
22563,1.79,0,1.635198115,2/20/2017,Vekic D.,-1,-50,
26705,1.64,0,1.634218968,9/12/2018,Abanda F.,-1,-50,
33120,2.9,1,1.633236475,11/15/2021,Muguruza G.,1.9,95,
25093,2.48,1,1.633089832,2/20/2018,Kuzmova V.,1.48,74,
29568,2.36,1,1.633065812,10/16/2019,Siegemund L.,1.36,68,
27667,2.3,1,1.632105434,3/8/2019,Mchale C.,1.3,65,
25241,1.68,0,1.630550061,3/13/2018,Williams V.,-1,-50,
28713,1.69,0,1.630241978,7/15/2019,Bolsova A.,-1,-50,
25495,1.56,0,1.630127042,4/14/2018,Mertens E.,-1,-50,
32465,2.52,1,1.629568045,8/17/2021,Rogers S.,1.52,76,
30097,2.37,1,1.628931039,3/3/2020,Martincova T.,1.37,68.5,
24495,2.82,1,1.628046444,10/6/2017,Garcia C.,1.82,91,
24338,2.24,1,1.627991333,9/21/2017,Hon P.,1.24,62,
30868,2.63,1,1.627384377,2/6/2021,Mertens E.,1.63,81.5,
29058,2.5,1,1.626648214,8/27/2019,Babos T.,1.5,75,
28062,1.58,0,1.626531335,5/1/2019,Konta J.,-1,-50,
23050,2.8,1,1.625949277,4/26/2017,Vesnina E.,1.8,90,
22364,1.58,0,1.625353889,1/16/2017,Jankovic J.,-1,-50,
28394,1.47,0,1.625266893,6/7/2019,Barty A.,-1,-50,
29189,1.78,0,1.624961529,9/10/2019,Sorribes Tormo S.,-1,-50,
28988,1.37,0,1.623463893,8/16/2019,Barty A.,-1,-50,
27116,1.58,0,1.622200621,10/19/2018,Kasatkina D.,-1,-50,
28116,1.72,0,1.621814057,5/5/2019,Mladenovic K.,-1,-50,
29130,2.21,1,1.619891602,8/31/2019,Ahn K.,1.21,60.5,
24142,2.14,1,1.61902328,8/30/2017,Allertova D.,1.14,57,
34914,1.63,0,1.61773015,8/17/2022,Raducanu E.,-1,-50,
26749,2.16,1,1.617456257,9/17/2018,Ferro F.,1.16,58,
26600,1.74,0,1.617002802,8/28/2018,Wang Yaf.,-1,-50,
34636,2.23,1,1.616512373,7/15/2022,Bondar A.,1.23,61.5,
30358,1.65,0,1.616167355,9/2/2020,Alexandrova E.,-1,-50,
28795,2.04,1,1.615968995,7/23/2019,Paquet C.,1.04,52,
31090,1.76,0,1.615904803,3/1/2021,Rus A.,-1,-50,
31755,1.56,0,1.615553526,5/26/2021,Alexandrova E.,-1,-50,
24403,1.66,0,1.614513906,9/26/2017,Radwanska A.,-1,-50,
23707,2.5,1,1.614507645,7/5/2017,Watson H.,1.5,75,
35622,1.44,0,1.613671752,1/16/2023,Sasnovich A.,-1,-50,
30770,1.68,0,1.613260019,1/31/2021,Giorgi C.,-1,-50,
32475,2.47,1,1.612636636,8/18/2021,Ostapenko J.,1.47,73.5,
32761,1.52,0,1.612262259,9/21/2021,Putintseva Y.,-1,-50,
32168,2.61,1,1.611785219,7/3/2021,Raducanu E.,1.61,80.5,
34902,1.59,0,1.611490399,8/16/2022,Garcia C.,-1,-50,
27724,2.21,1,1.60930311,3/16/2019,Andreescu B.,1.21,60.5,
23399,1.69,0,1.608647282,5/31/2017,Zhang S.,-1,-50,
23616,1.78,0,1.607213774,6/29/2017,Wozniacki C.,-1,-50,
29019,1.52,0,1.606663305,8/22/2019,Siniakova K.,-1,-50,
30203,1.52,0,1.60567653,8/12/2020,Jabeur O.,-1,-50,
33431,1.54,0,1.60527106,2/10/2022,Kontaveit A.,-1,-50,
33649,1.83,0,1.605227916,3/11/2022,Martic P.,-1,-50,
29471,1.43,0,1.6039668,10/5/2019,Osaka N.,-1,-50,
