match,PSW,win0,confidence0,date,winner,,correct?,,
25101,2.86,1,1.83258333,2/21/2018,Kasatkina D.,,,,
34662,1.54,0,1.832285743,7/18/2022,Paolini J.,,,,
23128,1.56,0,1.829778463,5/3/2017,Giorgi C.,,,,
27674,2.3,1,1.829201737,3/8/2019,Mchale C.,,,,
13115,1.42,0,1.827852526,4/23/2013,Bertens K.,,,,
15278,2.61,1,1.823824123,3/18/2014,Garcia C.,,,,
19682,1.6,0,1.823369517,1/4/2016,Hsieh S.W.,,,,
13809,1.56,0,1.823219982,7/10/2013,Beck A.,,,,
31754,1.56,0,1.821066321,5/26/2021,Alexandrova E.,,,,
22132,1.51,0,1.820813517,10/19/2016,Niculescu M.,,,,
29728,2.44,1,1.818969639,1/13/2020,Tomljanovic A.,,,,
35158,2.52,1,1.81845959,9/14/2022,Hibino N.,,,,
19672,1.44,0,1.817459826,1/4/2016,Bencic B.,,,,
24352,2.72,1,1.817437856,9/23/2017,Pavlyuchenkova A.,,,,
28061,1.7,0,1.815858945,5/1/2019,Van Uytvanck A.,,,,
30876,1.61,0,1.815637774,2/8/2021,Rybakina E.,,,,
26344,1.49,0,1.812754817,7/28/2018,Wang Q.,,,,
11346,1.53,0,1.811235773,6/30/2012,Paszek T.,,,,
11879,2.54,1,1.810939381,9/13/2012,Vekic D.,,,,
11869,2.29,1,1.810919878,9/12/2012,Begu I.,,,,
29806,1.65,0,1.810366741,1/21/2020,Dart H.,,,,
30998,2.64,1,1.808872579,2/13/2021,Gadecki O.,,,,
35559,1.49,0,1.808682699,1/9/2023,Wang Xin.,,,,
12186,1.5,0,1.807742291,10/20/2012,Williams V.,,,,
34275,1.57,0,1.805142059,6/7/2022,Flipkens K.,,,,
25853,1.53,0,1.803616068,5/29/2018,Begu I.,,,,
22549,1.45,0,1.801048877,2/19/2017,Siegemund L.,,,,
10181,1.66,0,1.79995545,2/15/2012,Stosur S.,,,,
12999,1.41,0,1.799057643,4/1/2013,Mattek-Sands B.,,,,
34670,1.48,0,1.797892065,7/19/2022,Bondar A.,,,,
10892,1.51,0,1.795034943,5/17/2012,Sharapova M.,,,,
13832,2.89,1,1.794055828,7/15/2013,Razzano V.,,,,
30206,2.19,1,1.794031806,8/13/2020,Bouchard E.,,,,
16170,1.45,0,1.792820784,6/30/2014,Bouchard E.,,,,
33793,1.65,0,1.792408983,3/28/2022,Bencic B.,,,,
30772,1.86,0,1.792153902,1/31/2021,Bogdan A.,,,,
25237,1.59,0,1.790143607,3/12/2018,Garcia C.,,,,
10233,1.48,0,1.789515181,2/21/2012,Lepchenko V.,,,,
27602,1.65,0,1.787285086,2/25/2019,Wang Yaf.,,,,
25142,2.23,1,1.786217969,2/28/2018,Voegele S.,,,,
35262,1.47,0,1.786116039,9/27/2022,Teichmann J.,,,,
24676,1.53,0,1.786020327,11/2/2017,Vandeweghe C.,,,,
35811,2.9,1,1.785032719,2/7/2023,Masarova R.,,,,
14399,1.48,0,1.784474406,9/22/2013,Cibulkova D.,,,,
23422,2.41,1,1.783471847,6/1/2017,Kasatkina D.,,,,
16759,1.71,0,1.782201102,9/15/2014,Han N.L.,,,,
19336,2.58,1,1.781984418,9/27/2015,Pavlyuchenkova A.,,,,
11146,2.31,1,1.781539332,6/13/2012,Radwanska U.,,,,
31494,2.54,1,1.781244571,4/16/2021,Sharma A.,,,,
32860,1.66,0,1.78119076,10/1/2021,Van Uytvanck A.,,,,
24160,1.64,0,1.780611232,8/31/2017,Stephens S.,,,,
14318,1.66,0,1.778200328,9/12/2013,Govortsova O.,,,,
10448,2.79,1,1.775320854,3/14/2012,Ivanovic A.,,,,
33716,1.51,0,1.775110519,3/22/2022,Saville D.,,,,
19408,2.79,1,1.773485102,10/1/2015,Hibino N.,,,,
23649,1.55,0,1.772392645,7/3/2017,Giorgi C.,,,,
14595,1.64,0,1.771928308,10/15/2013,Hsieh S.W.,,,,
26271,1.39,0,1.770856702,7/19/2018,Cirstea S.,,,,
24727,2.47,1,1.770608828,1/2/2018,Hercog P.,,,,
30283,1.72,0,1.770149918,8/28/2020,Osaka N.,,,,
13820,2.72,1,1.768930172,7/12/2013,Meusburger Y.,,,,
25081,1.55,0,1.768100789,2/19/2018,Lisicki S.,,,,
28673,1.72,0,1.766891241,7/5/2019,Halep S.,,,,
17792,1.41,0,1.766301398,3/25/2015,Pavlyuchenkova A.,,,,
29617,1.69,0,1.766112857,10/31/2019,Barty A.,,,,
14183,1.61,0,1.764222862,8/27/2013,Pennetta F.,,,,
25818,1.55,0,1.763669995,5/28/2018,Vandeweghe C.,,,,
23660,1.61,0,1.763144044,7/3/2017,Pliskova Kr.,,,,
29128,2.21,1,1.763064318,8/31/2019,Ahn K.,,,,
15632,1.53,0,1.762488181,5/3/2014,Arruabarrena L.,,,,
12710,2.89,1,1.762152272,2/26/2013,Mayr P.,,,,
21906,1.62,0,1.762111251,9/27/2016,Pliskova Kr.,,,,
23388,1.61,0,1.761900184,5/30/2017,Townsend T.,,,,
29504,1.69,0,1.761155578,10/9/2019,Jabeur O.,,,,
13242,1.57,0,1.757371982,5/9/2013,Makarova E.,,,,
27907,2.52,1,1.756852857,4/7/2019,Muguruza G.,,,,
24197,1.55,0,1.75613444,9/5/2017,Stephens S.,,,,
25122,2.26,1,1.755768499,2/23/2018,Kuzmova V.,,,,
21856,1.53,0,1.753937889,9/25/2016,Makarova E.,,,,
25133,1.57,0,1.753179983,2/26/2018,Tsurenko L.,,,,
12617,2.37,1,1.750846213,2/18/2013,Erakovic M.,,,,
28712,1.69,0,1.750100865,7/15/2019,Bolsova A.,,,,
28464,1.63,0,1.749926249,6/17/2019,Tomljanovic A.,,,,
23126,1.53,0,1.746583647,5/3/2017,Barthel M.,,,,
23555,1.62,0,1.744888505,6/21/2017,Lisicki S.,,,,
14893,1.6,0,1.743947342,1/15/2014,Barthel M.,,,,
32694,2.34,1,1.743037868,9/10/2021,Raducanu E.,,,,
24759,1.51,0,1.742941733,1/4/2018,Svitolina E.,,,,
24335,1.57,0,1.742881172,9/21/2017,Cirstea S.,,,,
34010,1.43,0,1.742658178,5/7/2022,Jabeur O.,,,,
23701,1.58,0,1.742006477,7/5/2017,Witthoeft C.,,,,
26324,1.74,0,1.741940804,7/25/2018,Ivakhnenko V.,,,,
20554,1.58,0,1.740512859,4/22/2016,Kerber A.,,,,
29169,2.65,1,1.740450842,9/10/2019,Stojanovic N.,,,,
18076,1.57,0,1.74044652,5/2/2015,Stephens S.,,,,
28073,2.47,1,1.740195837,5/1/2019,Korpatsch T.,,,,
28622,2.28,1,1.739905545,7/2/2019,Flink V.,,,,
21773,2.2,1,1.739218209,9/19/2016,Sorribes Tormo S.,,,,
20017,2.68,1,1.739050584,2/16/2016,Jankovic J.,,,,
