match,PSW,win0,confidence0,date,winner,,,,
13234,1.57,0,1.850920708,5/8/2013,Kerber A.,,,,
23873,2.37,1,1.849175814,7/28/2017,Hibino N.,,,,
31920,2.21,1,1.849018096,6/9/2021,Boulter K.,,,,
11516,2.33,1,1.847034151,7/29/2012,Chang K.C.,,,,
22136,1.51,0,1.846584128,10/19/2016,Niculescu M.,,,,
28061,1.7,0,1.845200788,5/1/2019,Van Uytvanck A.,,,,
22933,1.49,0,1.844693316,4/5/2017,Lucic-Baroni M.,,,,
10494,1.31,0,1.842792748,3/22/2012,Wickmayer Y.,,,,
12919,1.41,0,1.841933872,3/21/2013,Cibulkova D.,,,,
19948,1.38,0,1.84035211,2/9/2016,Zheng S.,,,,
29362,1.59,0,1.840325169,9/23/2019,Kuzmova V.,,,,
28923,1.46,0,1.838796667,8/8/2019,Williams S.,,,,
11184,1.61,0,1.838499132,6/18/2012,Niculescu M.,,,,
30209,2.19,1,1.837753742,8/13/2020,Bouchard E.,,,,
29170,2.65,1,1.837713615,9/10/2019,Stojanovic N.,,,,
33955,1.39,0,1.837699166,4/28/2022,Badosa P.,,,,
13183,1.43,0,1.83749005,5/1/2013,Kuznetsova S.,,,,
25235,1.71,0,1.836855305,3/12/2018,Collins D.,,,,
18995,1.47,0,1.836253329,8/18/2015,Stephens S.,,,,
31457,2.51,1,1.835301626,4/9/2021,Jabeur O.,,,,
11394,1.54,0,1.83528093,7/11/2012,Wickmayer Y.,,,,
19363,2.51,1,1.835213866,9/28/2015,Friedsam A.L.,,,,
17619,1.5,0,1.835030934,3/2/2015,Kulichkova E.,,,,
20790,1.59,0,1.834268925,5/18/2016,Vesnina E.,,,,
21923,1.47,0,1.833957082,9/28/2016,Allertova D.,,,,
25078,1.55,0,1.833458146,2/19/2018,Lisicki S.,,,,
16866,3.13,1,1.831202937,9/22/2014,Gajdosova J.,,,,
24371,2.84,1,1.829725581,9/25/2017,Wang Q.,,,,
26943,1.51,0,1.829626932,10/2/2018,Kerber A.,,,,
34790,3.63,1,1.829509806,8/2/2022,Mandlik E.,,,,
31157,1.75,0,1.829334109,3/8/2021,Anisimova A.,,,,
10701,1.59,0,1.828687827,4/25/2012,Pous-Tio L.,,,,
16171,1.45,0,1.827909302,6/30/2014,Bouchard E.,,,,
35748,1.6,0,1.827421475,1/30/2023,Zidansek T.,,,,
25543,1.41,0,1.826848075,4/26/2018,Garcia C.,,,,
17123,1.59,0,1.826761932,10/25/2014,Halep S.,,,,
20670,2.27,1,1.826419483,5/3/2016,Cirstea S.,,,,
27114,1.54,0,1.824986909,10/18/2018,Sevastova A.,,,,
33940,1.48,0,1.824715797,4/22/2022,Putintseva Y.,,,,
29413,1.57,0,1.823018179,9/28/2019,Van Uytvanck A.,,,,
31756,1.56,0,1.822058223,5/26/2021,Alexandrova E.,,,,
35524,1.46,0,1.821792101,1/4/2023,Zhu L.,,,,
16355,1.53,0,1.819975121,7/29/2014,Jovanovski B.,,,,
35279,1.57,0,1.818324051,9/28/2022,Haddad Maia B.,,,,
24254,2.41,1,1.817065718,9/15/2017,Mchale C.,,,,
27118,2.45,1,1.816178323,10/19/2018,Bencic B.,,,,
31089,1.76,0,1.815922829,3/1/2021,Rus A.,,,,
13757,1.39,0,1.813891852,7/1/2013,Flipkens K.,,,,
34823,2.76,1,1.810387357,8/6/2022,Badosa P.,,,,
32702,1.54,0,1.809812247,9/13/2021,Dodin O.,,,,
30863,2.63,1,1.808319947,2/6/2021,Mertens E.,,,,
34808,1.55,0,1.808307796,8/4/2022,Jabeur O.,,,,
14911,1.65,0,1.807052962,1/17/2014,Ivanovic A.,,,,
21693,2.88,1,1.806966763,9/4/2016,Wozniacki C.,,,,
25134,1.57,0,1.806917536,2/26/2018,Tsurenko L.,,,,
22919,1.69,0,1.806365092,4/4/2017,Zhang S.,,,,
16164,1.49,0,1.804624832,6/28/2014,Bouchard E.,,,,
8635,1.65,0,1.804518934,6/7/2011,Broady N.,,,,
23034,1.59,0,1.803115636,4/25/2017,Kuznetsova S.,,,,
32176,1.81,0,1.802969734,7/5/2021,Tomljanovic A.,,,,
29740,1.45,0,1.802586764,1/14/2020,Barty A.,,,,
22239,1.67,0,1.801683826,1/4/2017,Giorgi C.,,,,
14449,1.65,0,1.801054313,9/26/2013,Kuznetsova S.,,,,
16481,1.43,0,1.800686218,8/13/2014,Pavlyuchenkova A.,,,,
23821,1.63,0,1.799623663,7/24/2017,Xun F.Y.,,,,
12716,1.68,0,1.799540156,2/26/2013,Rybarikova M.,,,,
10710,2.53,1,1.799268665,4/26/2012,Bertens K.,,,,
25672,1.56,0,1.798674471,5/9/2018,Suarez Navarro C.,,,,
23388,1.52,0,1.79727904,5/30/2017,Martic P.,,,,
25253,2.74,1,1.796314552,3/15/2018,Kasatkina D.,,,,
29929,1.7,0,1.794644339,2/12/2020,Bencic B.,,,,
15416,2.46,1,1.794345466,4/2/2014,Svitolina E.,,,,
12563,2.56,1,1.792833099,2/11/2013,Rodionova An.,,,,
21909,1.47,0,1.792402697,9/27/2016,Kozlova K.,,,,
13700,1.67,0,1.791922142,6/25/2013,Puchkova O.,,,,
15419,2.59,1,1.791557602,4/2/2014,Jaksic J.,,,,
23783,1.47,0,1.789150139,7/18/2017,Kovinic D.,,,,
10566,1.61,0,1.787161953,4/2/2012,Bondarenko K.,,,,
13427,1.58,0,1.78663442,5/29/2013,Cirstea S.,,,,
24995,1.71,0,1.785273544,1/31/2018,Jakupovic D.,,,,
27418,2.64,1,1.785025394,1/20/2019,Pavlyuchenkova A.,,,,
21353,1.59,0,1.784584374,7/21/2016,Bellis C.,,,,
29166,1.46,0,1.784422756,9/9/2019,Van Uytvanck A.,,,,
19316,1.58,0,1.784044468,9/24/2015,Cibulkova D.,,,,
20623,2.54,1,1.782505761,4/28/2016,Erakovic M.,,,,
30296,1.61,0,1.781514577,8/31/2020,Juvan K.,,,,
13105,1.47,0,1.781091459,4/23/2013,Ivanovic A.,,,,
25340,2.85,1,1.780015149,3/26/2018,Stephens S.,,,,
30728,1.47,0,1.779958951,1/10/2021,Svitolina E.,,,,
34614,3.04,1,1.779005476,7/13/2022,Siniakova K.,,,,
14050,1.47,0,1.778384537,8/8/2013,Li N.,,,,
16796,1.52,0,1.777409993,9/16/2014,Niculescu M.,,,,
28441,2.24,1,1.776961002,6/13/2019,Rybakina E.,,,,
15209,1.59,0,1.776814544,3/7/2014,Rybarikova M.,,,,
21162,2.67,1,1.77672453,6/29/2016,Boserup J.,,,,
15221,1.36,0,1.774593047,3/8/2014,Stosur S.,,,,
23316,1.36,0,1.773920163,5/24/2017,Garcia C.,,,,
27555,1.53,0,1.773385306,2/19/2019,Hsieh S.W.,,,,
23211,1.5,0,1.773349091,5/11/2017,Kuznetsova S.,,,,
18727,1.41,0,1.772588083,7/17/2015,Barthel M.,,,,
28267,1.63,0,1.772455905,5/24/2019,Putintseva Y.,,,,
33461,1.58,0,1.77101474,2/17/2022,Vondrousova M.,,,,
25891,1.69,0,1.770430573,5/31/2018,Petkovic A.,,,,
29359,1.5,0,1.769718362,9/23/2019,Martincova T.,,,,
17270,2.88,1,1.768544786,1/13/2015,Gajdosova J.,,,,
17425,1.51,0,1.767532887,2/10/2015,Doi M.,,,,
30283,1.72,0,1.767416475,8/28/2020,Osaka N.,,,,
23758,1.51,0,1.765773225,7/17/2017,Kalinskaya A.,,,,
14355,1.61,0,1.765584715,9/17/2013,Beck A.,,,,
33967,1.67,0,1.764088909,4/29/2022,Osaka N.,,,,
21517,1.54,0,1.763611249,8/17/2016,Muguruza G.,,,,
21705,1.62,0,1.763159344,9/10/2016,Kerber A.,,,,
11913,1.44,0,1.762311534,9/18/2012,Govortsova O.,,,,
34273,1.57,0,1.760743014,6/7/2022,Flipkens K.,,,,
32694,2.34,1,1.760552034,9/10/2021,Raducanu E.,,,,
28916,1.36,0,1.760446647,8/7/2019,Pliskova Ka.,,,,
22113,2.37,1,1.759786325,10/18/2016,Lisicki S.,,,,
30521,1.6,0,1.759646492,9/25/2020,Sabalenka A.,,,,
32252,1.73,0,1.759482078,7/13/2021,Bogdan A.,,,,
16332,1.42,0,1.758787122,7/25/2014,Jovanovski B.,,,,
32481,1.65,0,1.757444067,8/18/2021,Azarenka V.,,,,
10555,2.48,1,1.7574203,4/2/2012,Wozniak A.,,,,
29617,1.69,0,1.756211644,10/31/2019,Barty A.,,,,
8799,1.69,0,1.756074866,6/22/2011,Hantuchova D.,,,,
9339,1.62,0,1.755040335,8/30/2011,Gajdosova J.,,,,
9540,1.53,0,1.754121361,9/22/2011,Voskoboeva G.,,,,
20039,1.59,0,1.753130441,2/18/2016,Kovinic D.,,,,
27190,1.7,0,1.753114317,1/1/2019,Zvonareva V.,,,,
30208,2.27,1,1.752889536,8/13/2020,Frech M.,,,,
15494,2.44,1,1.751698562,4/10/2014,Arruabarrena L.,,,,
28018,1.76,0,1.749949783,4/26/2019,Strycova B.,,,,
19746,1.61,0,1.748838199,1/8/2016,Goerges J.,,,,
24202,2.57,1,1.748378867,9/8/2017,Stephens S.,,,,
30357,2.89,1,1.748213218,9/2/2020,Rogers S.,,,,
34172,3.07,1,1.748211266,5/24/2022,Contreras Gomez F.,,,,
28641,1.74,0,1.748163478,7/3/2019,Zhang S.,,,,
25777,1.58,0,1.746270852,5/23/2018,Pavlyuchenkova A.,,,,
14302,2.4,1,1.746211395,9/11/2013,Meusburger Y.,,,,
16189,2.6,1,1.745561166,7/7/2014,Buyukakcay C.,,,,
18529,3.18,1,1.742798009,6/23/2015,Konta J.,,,,
30271,1.71,0,1.742504948,8/25/2020,Konta J.,,,,
10699,1.69,0,1.740181773,4/25/2012,Muguruza Blanco G.,,,,
23465,1.57,0,1.737958082,6/12/2017,Giorgi C.,,,,
33909,2.56,1,1.737445984,4/20/2022,Pliskova Ka.,,,,
23220,1.5,0,1.735432903,5/15/2017,Barthel M.,,,,
23422,2.41,1,1.735181854,6/1/2017,Kasatkina D.,,,,
8693,1.64,0,1.733427467,6/13/2011,Martinez-Sanchez M.J.,,,,
14814,1.57,0,1.732023569,1/11/2014,Muguruza G.,,,,
27671,2.3,1,1.731615676,3/8/2019,Mchale C.,,,,
26738,1.53,0,1.730779007,9/17/2018,Gavrilova D.,,,,
25006,2.34,1,1.730649613,2/1/2018,Wang Yaf.,,,,
10947,1.67,0,1.7303765,5/23/2012,Arvidsson S.,,,,
35466,1.67,0,1.729462961,10/20/2022,Keys M.,,,,
26508,2.79,1,1.72901117,8/17/2018,Bertens K.,,,,
9673,2.28,1,1.728741476,10/10/2011,Johansson M.,,,,
17497,1.57,0,1.728144501,2/16/2015,Giorgi C.,,,,
32329,1.81,0,1.727676469,7/20/2021,Parrizas Diaz N.,,,,
25454,1.79,0,1.727488545,4/11/2018,Sasnovich A.,,,,
17464,1.62,0,1.727054647,2/13/2015,Zahlavova Strycova B.,,,,
15185,2.29,1,1.725248227,3/6/2014,Wozniak A.,,,,
30234,2.52,1,1.72520776,8/22/2020,Mladenovic K.,,,,
12049,3.69,1,1.7251341,10/2/2012,Goerges J.,,,,
12200,3.01,1,1.72351741,10/25/2012,Errani S.,,,,
11500,2.53,1,1.723236241,7/25/2012,Puchkova O.,,,,
34387,1.51,0,1.721547337,6/19/2022,Haddad Maia B.,,,,
13113,1.42,0,1.720689148,4/23/2013,Bertens K.,,,,
29754,1.37,0,1.719870334,1/15/2020,Vondrousova M.,,,,
29867,1.75,0,1.718465066,1/23/2020,Muguruza G.,,,,
26094,2.69,1,1.717569723,6/28/2018,Radwanska A.,,,,
21381,1.58,0,1.717092507,7/24/2016,Wickmayer Y.,,,,
34624,2.35,1,1.716793292,7/14/2022,Krunic A.,,,,
11244,1.88,0,1.716373385,6/25/2012,Stephens S.,,,,
15153,2.67,1,1.715199357,2/26/2014,Arruabarrena L.,,,,
8710,1.45,0,1.715170525,6/14/2011,Hantuchova D.,,,,
27989,2.27,1,1.714751172,4/24/2019,Hsieh S.W.,,,,
10642,1.55,0,1.713816706,4/11/2012,Martic P.,,,,
22947,1.57,0,1.713277675,4/6/2017,Sevastova A.,,,,
12621,2.37,1,1.713229589,2/18/2013,Erakovic M.,,,,
29549,2.09,1,1.712964469,10/15/2019,Gracheva V.,,,,
34159,1.75,0,1.712843685,5/23/2022,Kvitova P.,,,,
31895,2.24,1,1.712321634,6/7/2021,Cabrera L.,,,,
