match,PSW,win0,confidence0,date,winner,,,correct pred?
31242,2.71,1,1.499616706,3/16/2021,Gasparyan M.,1.71,171,
32954,2.34,1,1.498905033,10/13/2021,Badosa P.,1.34,134,
31590,1.63,0,1.498790808,5/1/2021,Kudermetova V.,-1,-100,
28298,2.36,1,1.498396555,5/27/2019,Zhang S.,1.36,136,
34919,1.63,0,1.497291195,8/17/2022,Raducanu E.,-1,-100,
23922,1.55,0,1.496969597,8/3/2017,Goerges J.,-1,-100,
31825,2.24,1,1.495528321,6/1/2021,Sharma A.,1.24,124,
34170,1.98,1,1.495432568,5/24/2022,Zidansek T.,0.98,98,
26321,1.74,0,1.49399244,7/25/2018,Ivakhnenko V.,-1,-100,
28077,2.08,1,1.49261643,5/2/2019,Strycova B.,1.08,108,
22305,1.59,0,1.49208084,1/10/2017,Strycova B.,-1,-100,
23917,1.59,0,1.492053832,8/3/2017,Niculescu M.,-1,-100,
24620,2.3,1,1.490182304,10/17/2017,Watson H.,1.3,130,
33011,1.6,0,1.489515364,10/22/2021,Giorgi C.,-1,-100,
30433,2.23,1,1.489107291,9/11/2020,Martincova T.,1.23,123,
35808,2.2,1,1.487886806,2/6/2023,Niemeier J.,1.2,120,
22908,1.66,0,1.487565026,4/4/2017,Rodionova An.,-1,-100,
26475,1.63,0,1.486893828,8/14/2018,Bertens K.,-1,-100,
35534,2.17,1,1.486458645,1/5/2023,Masarova R.,1.17,117,
29691,1.58,0,1.48571402,1/9/2020,Osaka N.,-1,-100,
24334,1.56,0,1.485691063,9/21/2017,Zhang S.,-1,-100,
25177,2.22,1,1.483710521,3/8/2018,Vikhlyantseva N.,1.22,122,
25432,1.7,0,1.483692322,4/7/2018,Bertens K.,-1,-100,
25904,1.59,0,1.483539471,6/2/2018,Williams S.,-1,-100,
24040,1.61,0,1.482222527,8/18/2017,Stephens S.,-1,-100,
32740,1.75,0,1.481471871,9/17/2021,Zidansek T.,-1,-100,
23020,2.69,1,1.480796854,4/13/2017,Giorgi C.,1.69,169,
23301,2.29,1,1.480044546,5/23/2017,Pliskova Kr.,1.29,129,
31009,1.74,0,1.479848436,2/14/2021,Halep S.,-1,-100,
29855,1.58,0,1.477538824,1/23/2020,Swiatek I.,-1,-100,
26245,1.78,0,1.476433218,7/17/2018,Bara I.,-1,-100,
25709,2.27,1,1.475766041,5/15/2018,Babos T.,1.27,127,
27421,1.74,0,1.475411404,1/21/2019,Pliskova Ka.,-1,-100,
33880,1.91,0,1.475253292,4/8/2022,Alexandrova E.,-1,-100,
26887,2.2,1,1.474679029,9/26/2018,Potapova A.,1.2,120,
30495,2.12,1,1.474539946,9/20/2020,Teichmann J.,1.12,112,
27318,1.74,0,1.474275716,1/14/2019,Pavlyuchenkova A.,-1,-100,
24341,1.71,0,1.474065535,9/22/2017,Pavlyuchenkova A.,-1,-100,
34648,2.11,1,1.473671772,7/17/2022,Pera B.,1.11,111,
23978,1.87,0,1.473394956,8/10/2017,Safarova L.,-1,-100,
25566,2.35,1,1.472850401,4/30/2018,Stosur S.,1.35,135,
25418,2.3,1,1.472469023,4/5/2018,Pera B.,1.3,130,
26516,2.42,1,1.471769212,8/18/2018,Bertens K.,1.42,142,
28363,1.68,0,1.47133069,5/30/2019,Swiatek I.,-1,-100,
26047,1.85,0,1.471086352,6/23/2018,Rybarikova M.,-1,-100,
23731,1.5,0,1.470941707,7/7/2017,Azarenka V.,-1,-100,
27523,1.59,0,1.470470627,2/17/2019,Tsurenko L.,-1,-100,
27594,1.56,0,1.469570138,2/22/2019,Van Uytvanck A.,-1,-100,
31636,2.64,1,1.467390457,5/11/2021,Kudermetova V.,1.64,164,
31011,1.53,0,1.464356259,2/14/2021,Osaka N.,-1,-100,
26238,2.36,1,1.464023827,7/17/2018,Rodina E.,1.36,136,
25013,2.24,1,1.463875539,2/2/2018,Wang Yaf.,1.24,124,
