match,PSW,win0,confidence0,date,winner,,,,
29977,1.48,0,1.750132749,2/19/2020,Rybakina E.,-1,-50,,
27168,1.45,0,1.749989303,12/31/2018,Wang Xin.,-1,-50,,
32327,1.49,0,1.749641055,7/20/2021,Bronzetti L.,-1,-50,,
30270,1.71,0,1.748753368,8/25/2020,Konta J.,-1,-50,,
25158,1.58,0,1.748225959,3/2/2018,Tsurenko L.,-1,-50,,
30764,1.68,0,1.746622303,1/31/2021,Giorgi C.,-1,-50,,
35402,1.33,0,1.744430824,10/13/2022,Swiatek I.,-1,-50,,
25490,1.54,0,1.744317837,4/14/2018,Voegele S.,-1,-50,,
28441,2.24,1,1.744172401,6/13/2019,Rybakina E.,1.24,62,,
26827,2.36,1,1.741860911,9/23/2018,Pavlyuchenkova A.,1.36,68,,
33544,1.58,0,1.739462225,2/25/2022,Kontaveit A.,-1,-50,,
22326,1.73,0,1.737944528,1/12/2017,Fett J.,-1,-50,,
33262,2.65,1,1.737482161,1/13/2022,Kasatkina D.,1.65,82.5,,
31950,1.55,0,1.737449629,6/14/2021,Bencic B.,-1,-50,,
32257,2.92,1,1.737429758,7/14/2021,Minella M.,1.92,96,,
31157,1.75,0,1.73689285,3/8/2021,Anisimova A.,-1,-50,,
31080,1.59,0,1.736582547,2/25/2021,Bencic B.,-1,-50,,
25999,1.53,0,1.734785586,6/19/2018,Goerges J.,-1,-50,,
30031,1.56,0,1.733399132,2/25/2020,Zheng S.,-1,-50,,
33630,2.08,1,1.731625779,3/10/2022,Haddad Maia B.,1.08,54,,
28187,1.58,0,1.730409675,5/16/2019,Azarenka V.,-1,-50,,
30208,2.19,1,1.728949146,8/13/2020,Bouchard E.,1.19,59.5,,
25917,2.27,1,1.728836775,6/4/2018,Kasatkina D.,1.27,63.5,,
29608,1.55,0,1.727439227,10/27/2019,Sabalenka A.,-1,-50,,
28984,1.52,0,1.726592892,8/15/2019,Osaka N.,-1,-50,,
34879,1.45,0,1.725993914,8/13/2022,Halep S.,-1,-50,,
22549,1.48,0,1.724814285,2/19/2017,Osaka N.,-1,-50,,
32879,1.51,0,1.722581347,10/7/2021,Garcia C.,-1,-50,,
28370,2.42,1,1.72236125,5/31/2019,Martic P.,1.42,71,,
35614,1.57,0,1.721036644,1/14/2023,Bencic B.,-1,-50,,
26505,2.46,1,1.72065724,8/16/2018,Keys M.,1.46,73,,
29609,1.7,0,1.720309398,10/27/2019,Osaka N.,-1,-50,,
31054,2.27,1,1.720084904,2/18/2021,Bouzkova M.,1.27,63.5,,
34406,2.25,1,1.719648868,6/20/2022,Cornet A.,1.25,62.5,,
26460,1.56,0,1.719003362,8/11/2018,Svitolina E.,-1,-50,,
22828,1.7,0,1.717440679,3/23/2017,Lucic-Baroni M.,-1,-50,,
23105,1.44,0,1.713051438,5/2/2017,Gavrilova D.,-1,-50,,
35562,2.52,1,1.71197534,1/9/2023,Kvitova P.,1.52,76,,
32266,2.5,1,1.71115381,7/14/2021,Kozlova K.,1.5,75,,
27114,1.54,0,1.70929854,10/18/2018,Sevastova A.,-1,-50,,
35531,2.17,1,1.708204247,1/5/2023,Masarova R.,1.17,58.5,,
29127,2.21,1,1.708055882,8/31/2019,Ahn K.,1.21,60.5,,
24546,1.8,0,1.705855027,10/11/2017,Sorribes Tormo S.,-1,-50,,
32176,1.81,0,1.70389774,7/5/2021,Tomljanovic A.,-1,-50,,
26692,2.22,1,1.70328979,9/11/2018,Minella M.,1.22,61,,
34215,1.53,0,1.702965138,5/26/2022,Keys M.,-1,-50,,
26478,1.63,0,1.702382165,8/14/2018,Bertens K.,-1,-50,,
25436,1.8,0,1.701407865,4/8/2018,Goerges J.,-1,-50,,
30401,1.49,0,1.700638753,9/7/2020,Osaka N.,-1,-50,,
25072,2.03,1,1.699560357,2/17/2018,Kvitova P.,1.03,51.5,,
26949,1.59,0,1.698579892,10/2/2018,Siniakova K.,-1,-50,,
24352,2.72,1,1.698234312,9/23/2017,Pavlyuchenkova A.,1.72,86,,
29362,1.59,0,1.697951216,9/23/2019,Kuzmova V.,-1,-50,,
25475,2.8,1,1.697750556,4/13/2018,Voegele S.,1.8,90,,
24482,1.65,0,1.696767463,10/3/2017,Radwanska A.,-1,-50,,
26891,2.2,1,1.694220126,9/26/2018,Potapova A.,1.2,60,,
24448,1.44,0,1.693118169,9/30/2017,Kerber A.,-1,-50,,
27153,2.26,1,1.691869926,12/30/2018,Zvonareva V.,1.26,63,,
28238,1.62,0,1.691477271,5/22/2019,Puig M.,-1,-50,,
