match,PSW,win0,confidence0,date,winner,-1
11950,1.6,1,0.81790483,9/21/2012,Lepchenko V.,
13084,3.18,0,0.817716528,4/10/2013,Pliskova Ka.,
19361,1.33,1,0.81768891,9/28/2015,Keys M.,
32698,1.53,1,0.817676318,9/13/2021,Cirstea S.,
14596,1.24,1,0.817670005,10/15/2013,Lisicki S.,
19083,1.27,1,0.817636418,8/31/2015,Kanepi K.,
20993,1.41,1,0.817627794,6/11/2016,Puig M.,
20532,3.26,0,0.817592095,4/20/2016,Mitu A.,
34403,1.63,1,0.81755251,6/20/2022,Flipkens K.,0.63
18786,1.68,1,0.817504692,7/24/2015,Rybarikova M.,
23178,1.29,1,0.817461077,5/7/2017,Sharapova M.,
13496,1.56,1,0.817454465,6/10/2013,Kudryavtseva A.,
13135,1.12,1,0.817400522,4/25/2013,Sharapova M.,
28380,1.05,1,0.817393407,6/1/2019,Halep S.,
12217,1.39,1,0.81735366,11/2/2012,Petrova N.,
19668,1.63,1,0.817104135,1/4/2016,Diyas Z.,
18972,3.15,0,0.816975051,8/16/2015,Bencic B.,
19994,1.23,1,0.816933605,2/13/2016,Williams V.,
35911,1.33,1,0.816868455,2/20/2023,Muchova K.,0.33
33716,1.51,1,0.81686716,3/22/2022,Saville D.,0.51
27111,1.5,1,0.816822946,10/18/2018,Goerges J.,
25902,2.44,0,0.816574212,6/1/2018,Putintseva Y.,
10687,1.15,1,0.816566464,4/24/2012,Kuznetsova S.,
31475,1.16,1,0.816521981,4/13/2021,Jabeur O.,
27595,3.52,0,0.816485538,2/22/2019,Bencic B.,
23057,2.76,0,0.816370253,4/26/2017,Aksu A.,
20937,1.54,1,0.816293734,6/6/2016,Mchale C.,
26929,1.28,1,0.816258196,9/30/2018,Bertens K.,
30318,2.55,0,0.816246894,9/1/2020,Li A.,
11085,1.25,1,0.816225931,6/4/2012,Kanepi K.,
13093,1.59,1,0.81622252,4/11/2013,Peer S.,
18982,2.97,0,0.816162416,8/18/2015,Garcia C.,
28092,5.14,0,0.816099521,5/4/2019,Sasnovich A.,
25679,2.09,0,0.816003025,5/10/2018,Bertens K.,
27071,1.33,1,0.815904929,10/15/2018,Lapko V.,
19934,5.3,0,0.815754584,1/27/2016,Kerber A.,
21252,1.33,1,0.815693819,7/12/2016,Kovinic D.,
