match,correct_prediction,confidence,PSW,date,winner
49174,1,0.7877753,1.37,2025-02-19,Medvedev D.
49151,0,0.7865192,1.27,2025-02-18,Auger-Aliassime F.
48984,1,0.78631103,1.24,2025-01-31,Rublev A.
48553,0,0.7853274,1.38,2024-10-22,De Minaur A.
48630,1,0.78442,1.32,2024-10-30,Rune H.
47598,1,0.78401583,1.09,2024-07-01,Sonego L.
48870,1,0.78245336,1.39,2025-01-13,Thompson J.
48210,1,0.7824026,2.19,2024-08-29,Borges N.
49151,0,0.781581,1.27,2025-02-18,Auger-Aliassime F.
48915,0,0.78105414,2.0,2025-01-16,Giron M.
48762,1,0.78033906,1.28,2025-01-02,Mensik J.
47731,0,0.7801452,1.85,2024-07-15,Kotov P.
48628,1,0.78014064,1.32,2024-10-30,Zverev A.
48152,1,0.77913344,2.84,2024-08-27,O Connell C.
48716,1,0.7781323,3.09,2024-11-14,De Minaur A.
48754,1,0.777866,1.21,2025-01-01,Dimitrov G.
47698,1,0.7778084,1.43,2024-07-06,Bautista Agut R.
48284,1,0.7769241,1.36,2024-09-21,Bublik A.
48516,1,0.77616227,2.08,2024-10-18,Diallo G.
48770,1,0.7759675,1.44,2025-01-03,Lehecka J.
49174,1,0.7758593,1.37,2025-02-19,Medvedev D.
48550,1,0.77569,1.67,2024-10-22,Monfils G.
48824,1,0.7755108,1.35,2025-01-09,Monfils G.
47472,1,0.77511734,1.68,2024-06-15,Korda S.
48274,1,0.77483046,2.43,2024-09-20,Kachmazov A.
48398,1,0.7742968,1.53,2024-10-04,Arnaldi M.
48810,1,0.7739587,2.77,2025-01-08,Giron M.
48711,0,0.7735214,1.31,2024-11-11,Zverev A.
48569,0,0.7726279,2.78,2024-10-23,Bautista Agut R.
49172,1,0.77261573,1.03,2025-02-19,Alcaraz C.
47804,1,0.77215815,1.62,2024-07-18,Navone M.
47588,1,0.7719472,1.73,2024-06-28,Ofner S.
48770,1,0.770574,1.44,2025-01-03,Lehecka J.
48622,1,0.7701281,2.46,2024-10-29,Popyrin A.
48915,0,0.7692051,2.0,2025-01-16,Giron M.
48246,1,0.7687661,2.27,2024-09-18,Kukushkin M.
48435,0,0.768374,1.17,2024-10-08,Fritz T.
47904,1,0.7682665,2.29,2024-07-26,Gaston H.
48378,1,0.7682663,1.46,2024-10-03,Bellucci M.
49034,1,0.7678934,2.61,2025-02-06,Nishioka Y.
48630,1,0.7677999,1.32,2024-10-30,Rune H.
48134,1,0.7677778,1.85,2024-08-26,Martinez P.
47630,1,0.76706946,1.15,2024-07-02,Rune H.
48116,1,0.76694,2.0,2024-08-23,Michelsen A.
47728,1,0.7665152,1.66,2024-07-15,Riedi L.
48733,0,0.7660529,2.44,2024-12-30,Marozsan F.
47349,0,0.76560193,1.13,2024-05-28,Struff J.L.
48206,1,0.76554877,1.79,2024-08-29,Arnaldi M.
48406,1,0.76544416,1.3,2024-10-04,Humbert U.
48946,1,0.76497287,1.85,2025-01-18,Sonego L.
48733,0,0.76495135,2.44,2024-12-30,Marozsan F.
48676,1,0.76483357,1.19,2024-11-05,Bergs Z.
47940,1,0.76483035,2.19,2024-07-31,Mpetshi G.
47550,1,0.76471317,2.35,2024-06-24,Vukic A.
48438,1,0.76434135,1.61,2024-10-08,Rune H.
48218,1,0.7642196,1.69,2024-08-30,Nakashima B.
48274,1,0.76409256,2.43,2024-09-20,Kachmazov A.
47692,1,0.76334965,1.05,2024-07-05,Alcaraz C.
48540,1,0.7633171,1.42,2024-10-21,Berrettini M.
48828,1,0.76243526,1.28,2025-01-09,Paul T.
48678,1,0.76238394,1.89,2024-11-05,Bonzi B.
48406,1,0.76230747,1.3,2024-10-04,Humbert U.
48402,1,0.76225287,1.71,2024-10-04,Shelton B.
47932,1,0.7617279,1.74,2024-07-30,Krueger M.
47306,1,0.76170385,1.06,2024-05-26,Rublev A.
49158,1,0.76138717,1.46,2025-02-18,Borges N.
49147,0,0.7610762,1.42,2025-02-18,Etcheverry T.
48729,0,0.76071644,1.15,2024-12-30,Dimitrov G.
47778,1,0.7598514,2.33,2024-07-17,Opelka R.
48435,0,0.7597844,1.17,2024-10-08,Fritz T.
48714,1,0.759692,1.58,2024-11-13,Alcaraz C.
47704,1,0.7587396,1.85,2024-07-06,Fils A.
47510,1,0.7585509,1.61,2024-06-19,Thompson J.
48156,1,0.7583168,1.23,2024-08-27,Korda S.
47540,1,0.7581657,2.17,2024-06-23,Carballes Baena R.
48676,1,0.7579777,1.19,2024-11-05,Bergs Z.
48064,1,0.7571986,1.34,2024-08-17,Sinner J.
48550,1,0.7569243,1.67,2024-10-22,Monfils G.
48569,0,0.7563664,2.78,2024-10-23,Bautista Agut R.
49188,1,0.7562281,2.62,2025-02-21,Muller A.
48964,1,0.7561637,2.04,2025-01-27,Koepfer D.
48238,1,0.75550705,2.49,2024-09-03,Fritz T.
47634,1,0.75548726,1.49,2024-07-02,Fearnley J.
48997,0,0.7552334,1.07,2025-02-04,Alcaraz C.
47512,1,0.7546823,5.87,2024-06-19,Zhang Zh.
47522,1,0.754438,1.23,2024-06-20,Hurkacz H.
48628,1,0.7531048,1.32,2024-10-30,Zverev A.
48980,1,0.7526888,2.59,2025-01-30,De Jong J.
47646,1,0.7522325,1.33,2024-07-02,Popyrin A.
49156,1,0.75177354,1.65,2025-02-18,Griekspoor T.
47386,1,0.7516094,1.37,2024-05-30,Dimitrov G.
48926,1,0.75067925,2.08,2025-01-16,Musetti L.
47400,1,0.7504848,1.14,2024-06-01,Fritz T.
47344,1,0.75044245,1.17,2024-05-28,Carballes Baena R.
