match,correct_prediction,confidence,PSW,date,winner
48299,1,0.78747964,2.35,2024-09-25,Navone M.
47767,1,0.7874292,1.74,2024-07-16,Lajovic D.
48475,1,0.787345,1.62,2024-10-15,Gaston H.
48135,1,0.7870765,1.52,2024-08-26,Lehecka J.
47939,1,0.7869392,1.57,2024-07-31,Kovacevic A.
47943,1,0.7838779,1.92,2024-07-31,Cobolli F.
48241,1,0.7830643,1.36,2024-09-05,Sinner J.
48697,1,0.7829483,1.43,2024-11-07,Lehecka J.
48433,1,0.78273785,2.24,2024-10-08,Goffin D.
48540,0,0.7825654,1.28,2024-10-21,Fils A.
48327,1,0.78234494,1.41,2024-09-27,Safiullin R.
47507,1,0.7821514,1.99,2024-06-18,Fils A.
48225,1,0.78158087,1.65,2024-08-31,Machac T.
47863,1,0.7807985,1.7,2024-07-23,Rinderknech A.
47729,1,0.7806376,1.76,2024-07-15,Fognini F.
47185,1,0.7804854,1.58,2024-05-10,Shelton B.
48631,1,0.78013265,1.8,2024-10-30,Khachanov K.
47769,1,0.77956694,2.32,2024-07-16,Trungelliti M.
46823,1,0.7792081,1.26,2024-04-01,Kotov P.
48283,1,0.77821493,2.47,2024-09-21,Cilic M.
48537,1,0.7779437,1.02,2024-10-21,Zverev A.
48151,1,0.7777954,1.32,2024-08-27,Cobolli F.
48723,1,0.77771443,2.08,2024-12-29,Vukic A.
47163,1,0.7768964,2.48,2024-05-09,Muller A.
47645,1,0.7758238,2.45,2024-07-02,Munar J.
48173,1,0.7751702,4.14,2024-08-27,Mensik J.
48147,1,0.774512,2.33,2024-08-27,Diaz Acosta F.
48567,1,0.77440464,1.56,2024-10-23,Khachanov K.
47327,1,0.77406263,2.99,2024-05-27,Kotov P.
47259,1,0.77387893,1.34,2024-05-21,Nishioka Y.
48233,1,0.773786,1.27,2024-09-02,De Minaur A.
48428,0,0.7736276,1.86,2024-10-07,Rune H.
48419,1,0.7724841,1.19,2024-10-06,Medvedev D.
48233,1,0.7723292,1.27,2024-09-02,De Minaur A.
47345,1,0.77201587,1.17,2024-05-28,Carballes Baena R.
48381,1,0.7714314,1.23,2024-10-03,Shevchenko A.
47778,0,0.77106094,1.5,2024-07-17,Eubanks C.
47807,1,0.7701544,1.31,2024-07-19,Zverev A.
48217,1,0.77009046,1.05,2024-08-30,Fritz T.
46830,0,0.76965463,2.36,2024-04-02,Vukic A.
47982,0,0.76965404,4.07,2024-08-08,Cobolli F.
46853,1,0.76900274,3.01,2024-04-03,Jorda Sanchis D.
48147,1,0.76849264,2.33,2024-08-27,Diaz Acosta F.
48005,1,0.7680722,2.23,2024-08-10,Arnaldi M.
46781,1,0.76789206,1.06,2024-03-24,De Minaur A.
48053,1,0.76775616,1.25,2024-08-15,Zverev A.
48020,0,0.7674915,1.52,2024-08-13,Shelton B.
48275,1,0.76666486,2.93,2024-09-20,Martinez P.
48509,1,0.76637435,1.52,2024-10-17,Khachanov K.
48275,1,0.7662305,2.93,2024-09-20,Martinez P.
46961,1,0.7659941,2.63,2024-04-15,Moro Canas A.
47930,0,0.7658395,1.76,2024-07-30,Kokkinakis T.
48735,1,0.76555604,1.54,2024-12-31,Opelka R.
47827,1,0.76546866,1.63,2024-07-20,Michelsen A.
47739,1,0.76503116,1.61,2024-07-16,Carballes Baena R.
48225,1,0.7648086,1.65,2024-08-31,Machac T.
47842,0,0.76431054,1.55,2024-07-22,Lajovic D.
47917,1,0.7638462,2.14,2024-07-29,Bellucci M.
48716,0,0.76375026,3.09,2024-11-14,De Minaur A.
46937,1,0.7630695,2.36,2024-04-11,Rune H.
47299,1,0.7625876,2.88,2024-05-26,Moutet C.
48205,1,0.76218796,1.38,2024-08-29,Goffin D.
48585,1,0.76215875,1.65,2024-10-25,De Minaur A.
47822,0,0.76196605,3.11,2024-07-20,Halys Q.
48343,1,0.7611014,1.73,2024-09-29,Khachanov K.
47789,1,0.7610254,1.16,2024-07-17,Carballes Baena R.
48020,0,0.7609516,1.52,2024-08-13,Shelton B.
47917,1,0.7606793,2.14,2024-07-29,Bellucci M.
46957,1,0.7604403,1.22,2024-04-15,Draper J.
47842,0,0.7594688,1.55,2024-07-22,Lajovic D.
47069,1,0.7594688,1.5,2024-04-25,Medjedovic H.
47641,1,0.7594417,1.11,2024-07-02,Musetti L.
48251,1,0.7591513,2.05,2024-09-19,Vukic A.
48663,1,0.7584136,1.76,2024-11-04,Gasquet R.
48491,1,0.75804234,1.68,2024-10-16,Vukic A.
47857,1,0.7573789,1.92,2024-07-23,Tirante T.A.
48131,1,0.7571445,1.07,2024-08-26,Shelton B.
47352,0,0.7570616,1.14,2024-05-28,Fritz T.
48401,1,0.7569841,1.3,2024-10-04,Humbert U.
47813,1,0.7566395,1.41,2024-07-19,Nadal R.
47451,1,0.75655925,1.64,2024-06-12,Musetti L.
47859,1,0.7565374,1.21,2024-07-23,Rublev A.
48661,1,0.755971,1.93,2024-11-04,Herbert P.H.
47233,1,0.7558971,1.52,2024-05-14,Hurkacz H.
48684,0,0.7558678,1.5,2024-11-06,Bu Y.
47853,1,0.75572145,2.23,2024-07-23,Gaston H.
48205,1,0.75523204,1.38,2024-08-29,Goffin D.
48163,1,0.7548071,4.49,2024-08-27,Djere L.
48537,1,0.75474256,1.02,2024-10-21,Zverev A.
48543,1,0.75474256,1.42,2024-10-21,Berrettini M.
48135,1,0.75474256,1.52,2024-08-26,Lehecka J.
48491,1,0.75474256,1.68,2024-10-16,Vukic A.
47863,1,0.754334,1.7,2024-07-23,Rinderknech A.
47207,1,0.75407755,2.4,2024-05-11,Hurkacz H.
48494,0,0.7535063,1.27,2024-10-16,Halys Q.
