match,PSW,win0,confidence0,date,,
38634,1.59,0,1.490476883,10/7/2022,-1,0.59
30914,1.61,0,1.490118717,4/30/2019,-1,0.61
29205,2.37,1,1.489723581,10/24/2017,1.37,1.37
27174,1.76,0,1.489676624,2/24/2017,-1,0.76
37374,1.6,0,1.489534111,5/9/2022,-1,0.6
35436,1.74,0,1.489416715,7/20/2021,-1,0.74
38569,2.26,1,1.489109774,9/30/2022,1.26,1.26
32554,2.48,1,1.488110628,1/12/2020,1.48,1.48
29997,1.71,0,1.487890114,1/5/2019,-1,0.71
33763,1.58,0,1.487574979,11/10/2020,-1,0.58
29833,1.74,0,1.486881621,2/26/2018,-1,0.74
33659,2.44,1,1.486067361,10/27/2020,1.44,1.44
30404,2.62,1,1.485211919,2/21/2019,1.62,1.62
31718,1.81,0,1.485094571,7/29/2019,-1,0.81
28982,1.81,0,1.484069536,9/30/2017,-1,0.81
32657,2.19,1,1.48400662,1/21/2020,1.19,1.19
27160,1.47,0,1.483944292,2/23/2017,-1,0.47
32250,1.6,0,1.483865177,10/3/2019,-1,0.6
34211,1.55,0,1.483350576,3/4/2021,-1,0.55
29312,1.73,0,1.482725759,1/1/2018,-1,0.73
27856,1.67,0,1.482448709,5/22/2017,-1,0.67
37061,2.62,1,1.482175073,3/29/2022,1.62,1.62
34777,1.79,0,1.481351432,5/10/2021,-1,0.79
36327,1.68,0,1.480906241,1/7/2022,-1,0.68
31193,2.55,1,1.479926055,5/29/2019,1.55,1.55
30420,2.38,1,1.479920152,2/22/2019,1.38,1.38
37240,1.55,0,1.479655773,4/22/2022,-1,0.55
35428,1.77,0,1.478777978,7/20/2021,-1,0.77
35806,2.4,1,1.478548265,9/1/2021,1.4,1.4
31032,2.34,1,1.478544108,5/14/2019,1.34,1.34
31735,1.61,0,1.478174895,7/30/2019,-1,0.61
27125,1.86,0,1.476565353,2/21/2017,-1,0.86
27223,2.2,1,1.476537625,2/28/2017,1.2,1.2
35057,1.72,0,1.47493969,6/8/2021,-1,0.72
27138,1.81,0,1.474853683,2/21/2017,-1,0.81
27690,1.78,0,1.474031086,5/2/2017,-1,0.78
30277,1.7,0,1.473956337,2/12/2019,-1,0.7
34644,1.77,0,1.473882669,4/22/2021,-1,0.77
34490,2.58,1,1.473694381,4/6/2021,1.58,1.58
30750,1.71,0,1.472995006,4/10/2019,-1,0.71
33807,2.12,1,1.472223755,1/8/2021,1.12,1.12
29162,2.36,1,1.471406578,10/20/2017,1.36,1.36
32829,2.06,1,1.471010325,2/11/2020,1.06,1.06
28978,2.32,1,1.469109331,9/30/2017,1.32,1.32
32187,2.46,1,1.467924905,9/26/2019,1.46,1.46
32195,1.57,0,1.467919389,9/27/2019,-1,0.57
33025,1.68,0,1.467747469,2/25/2020,-1,0.68
37610,1.83,0,1.46771448,6/7/2022,-1,0.83
33933,2.24,1,1.467642857,2/4/2021,1.24,1.24
29342,1.7,0,1.467341776,1/2/2018,-1,0.7
31808,1.61,0,1.466628224,8/3/2019,-1,0.61
30003,1.65,0,1.466128953,1/6/2019,-1,0.65
33104,2.55,1,1.465175965,8/24/2020,1.55,1.55
35430,1.77,0,1.46499866,7/20/2021,-1,0.77
27073,1.71,0,1.464401913,2/16/2017,-1,0.71
36611,1.91,0,1.463904746,2/8/2022,-1,0.91
27735,2,0,1.46366764,5/7/2017,-1,1
29990,1.68,0,1.463336016,1/3/2019,-1,0.68
30623,2.08,1,1.463047808,3/20/2019,1.08,1.08
35847,1.78,0,1.463014292,9/4/2021,-1,0.78
37873,2.12,1,1.462256468,7/1/2022,1.12,1.12
32794,1.57,0,1.462008622,2/7/2020,-1,0.57
29652,2.36,1,1.461458217,2/11/2018,1.36,1.36
27034,1.68,0,1.461358859,2/14/2017,-1,0.68
35459,2.04,0,1.46125131,7/22/2021,-1,1.04
36245,2.75,1,1.460816082,11/8/2021,1.75,1.75
33782,1.74,0,1.460411525,11/16/2020,-1,0.74
39252,2.3,1,1.460302842,2/14/2023,1.3,1.3
29062,2.37,1,1.459604029,10/10/2017,1.37,1.37
29727,1.63,0,1.459585396,2/17/2018,-1,0.63
31787,2.37,1,1.459403558,8/1/2019,1.37,1.37
35338,2.22,1,1.457976098,7/12/2021,1.22,1.22
35729,1.8,0,1.457824009,8/25/2021,-1,0.8
31800,1.57,0,1.457482378,8/2/2019,-1,0.57
26782,2.15,1,1.457234015,1/10/2017,1.15,1.15
27094,2.27,1,1.457178527,2/17/2017,1.27,1.27
36646,1.83,0,1.455444208,2/9/2022,-1,0.83
