match,PSW,win0,confidence0,date,,
50617,1.98,0,1.476335027,10/28/2019,-1,-100
45304,2.55,1,1.476141523,10/19/2017,1.55,155
50009,2.56,1,1.475743351,8/8/2019,1.56,156
47188,1.69,0,1.475545113,7/23/2018,-1,-100
45925,1.58,0,1.474666643,2/20/2018,-1,-100
54204,2.53,1,1.474144175,10/16/2021,1.53,153
53540,1.51,0,1.47406806,7/17/2021,-1,-100
53438,2.16,1,1.473946105,7/2/2021,1.16,116
51411,1.76,0,1.473031531,9/10/2020,-1,-100
50317,1.74,0,1.472980893,9/24/2019,-1,-100
48196,1.75,0,1.472884632,1/9/2019,-1,-100
51527,1.6,0,1.472815543,9/27/2020,-1,-100
46015,1.52,0,1.472649636,2/28/2018,-1,-100
54814,2.45,1,1.471963596,2/14/2022,245,145
56780,2.3,1,1.471918672,10/12/2022,230,130
43268,2.36,1,1.47187808,2/18/2017,1.36,136
49515,2.29,1,1.471155555,6/22/2019,1.29,129
47461,2.55,1,1.471053854,8/16/2018,1.55,155
52617,2.36,1,1.470323527,4/4/2021,1.36,136
55968,2.36,1,1.468978012,6/30/2022,236,136
45312,2.22,1,1.46873886,10/19/2017,1.22,122
43310,1.81,0,1.468722826,2/21/2017,-1,-100
55212,1.68,0,1.468637118,4/6/2022,-100,-100
56663,1.68,0,1.468545637,9/29/2022,-100,-100
51266,1.62,0,1.468389406,8/26/2020,-1,-100
52987,2.46,1,1.467792547,5/19/2021,1.46,146
49172,2.31,1,1.467733101,5/12/2019,1.31,131
43656,2.45,1,1.467631795,4/12/2017,1.45,145
43573,2.2,1,1.467171955,3/23/2017,1.2,120
55251,1.53,0,1.466781336,4/11/2022,-100,-100
43228,2.62,1,1.465985069,2/15/2017,1.62,162
53872,1.56,0,1.463350933,8/27/2021,-1,-100
49750,2.6,1,1.463048834,7/17/2019,1.6,160
53002,2.83,1,1.462841262,5/20/2021,1.83,183
45789,2.61,1,1.46087922,2/9/2018,1.61,161
51374,1.58,0,1.45975565,9/4/2020,-1,-100
54360,1.96,0,1.458640272,11/7/2021,-1,-100
50055,1.71,0,1.458299177,8/14/2019,-1,-100
51750,1.78,0,1.457051275,10/21/2020,-1,-100
45227,2.23,1,1.45671231,10/10/2017,1.23,123
47962,2.4,1,1.45651356,10/22/2018,1.4,140
56382,2.57,1,1.455939391,8/20/2022,257,157
55457,2.4,1,1.454842329,5/4/2022,240,140
48662,2.26,1,1.454483053,2/28/2019,1.26,126
42972,1.65,0,1.454367883,1/12/2017,-1,-100
56732,2.11,1,1.454143801,10/6/2022,211,111
42850,1.79,0,1.454016583,1/2/2017,-1,-100
47168,1.96,0,1.453026047,7/20/2018,-1,-100
50971,2.24,1,1.451820846,2/11/2020,1.24,124
45383,1.79,0,1.451683417,10/26/2017,-1,-100
49218,1.72,0,1.4507025,5/17/2019,-1,-100
50298,1.7,0,1.447442104,9/21/2019,-1,-100
52898,2.36,1,1.44740484,5/6/2021,1.36,136
45742,2.34,1,1.446186217,2/6/2018,1.34,134
50258,2.08,1,1.44608201,9/17/2019,1.08,108
49190,2.16,1,1.444668606,5/14/2019,1.16,116
48540,1.69,0,1.444405503,2/19/2019,-1,-100
51793,1.79,0,1.444276207,10/27/2020,-1,-100
54861,2.34,1,1.444140993,2/16/2022,234,134
52805,2.2,1,1.444086644,4/26/2021,1.2,120
43983,2.11,1,1.443445835,5/16/2017,1.11,111
56605,1.67,0,1.443411382,9/24/2022,-100,-100
51251,1.61,0,1.44323787,8/24/2020,-1,-100
50027,1.62,0,1.443027235,8/12/2019,-1,-100
48994,1.76,0,1.441617109,4/22/2019,-1,-100
46806,1.63,0,1.441580822,6/5/2018,-1,-100
52839,1.78,0,1.441393746,4/29/2021,-1,-100
47345,2.58,1,1.440279248,8/3/2018,1.58,158
46404,1.74,0,1.440044705,4/25/2018,-1,-100
50382,2.38,1,1.439419285,10/1/2019,1.38,138
53056,1.65,0,1.439391947,5/26/2021,-1,-100
47426,1.66,0,1.43867307,8/13/2018,-1,-100
56959,1.62,0,1.43814836,10/31/2022,-100,-100
53977,1.79,0,1.436880132,9/3/2021,-1,-100
46173,1.87,0,1.436574869,3/21/2018,-1,-100
50148,1.75,0,1.436165865,8/26/2019,-1,-100
57011,2.41,1,1.436052633,11/17/2022,241,141
51195,2.21,1,1.435091942,2/27/2020,1.21,121
48669,1.54,0,1.434988032,3/1/2019,-1,-100
44301,2.28,1,1.434471763,6/24/2017,1.28,128
51912,1.59,0,1.434441956,11/12/2020,-1,-100
49537,2.18,1,1.434355913,6/25/2019,1.18,118
49704,2.05,1,1.433968867,7/15/2019,1.05,105
56059,1.61,0,1.43383306,7/15/2022,-100,-100
50383,1.59,0,1.433823004,10/2/2019,-1,-100
45487,2.28,1,1.433005873,1/2/2018,1.28,128
49887,1.61,0,1.432938682,7/30/2019,-1,-100
49760,2.14,1,1.431997115,7/19/2019,1.14,114
43187,2.12,1,1.431978213,2/12/2017,1.12,112
49792,1.98,1,1.431120341,7/22/2019,0.98,98
55012,1.58,0,1.430574785,3/11/2022,-100,-100
46010,1.81,0,1.429875809,2/27/2018,-1,-100
52988,1.76,0,1.429547792,5/19/2021,-1,-100
52670,1.76,0,1.429109066,4/11/2021,-1,-100
52368,1.91,0,1.42746837,3/8/2021,-1,-100
44414,2.6,1,1.427362813,7/4/2017,1.6,160
48319,2.06,1,1.427160572,1/18/2019,1.06,106
44197,2.05,1,1.426884881,6/12/2017,1.05,105
46874,2.3,1,1.426504368,6/18/2018,1.3,130
57401,2.11,1,1.426229794,2/17/2023,211,111
52506,2.17,1,1.425971072,3/18/2021,1.17,117
56961,1.56,0,1.425254011,11/1/2022,-100,-100
45340,2.37,1,1.425214019,10/23/2017,1.37,137
50369,2.2,1,1.424612463,10/1/2019,1.2,120
56178,1.57,0,1.424392173,7/28/2022,-100,-100
55571,2.58,1,1.422935014,5/18/2022,258,158
56848,1.94,0,1.421604266,10/20/2022,-100,-100
52330,1.71,0,1.420980534,3/2/2021,-1,-100
51472,1.69,0,1.420011297,9/18/2020,-1,-100
55841,1.63,0,1.419247337,6/20/2022,-100,-100
43865,2.5,1,1.418935593,5/3/2017,1.5,150
48020,2.35,1,1.418750706,10/29/2018,1.35,135
47133,1.54,0,1.417950169,7/17/2018,-1,-100
50504,1.66,0,1.417900569,10/16/2019,-1,-100
49531,2.46,1,1.417623007,6/24/2019,1.46,146
43778,2.09,1,1.417487754,4/25/2017,1.09,109
43222,1.68,0,1.416775171,2/15/2017,-1,-100
56186,2.32,1,1.416269841,7/29/2022,232,132
46701,2.27,0,1.415313318,5/27/2018,-1,-100
48041,1.95,1,1.415135447,10/31/2018,0.95,95
55806,1.66,0,1.414769833,6/15/2022,-100,-100
48421,1.55,0,1.414683045,2/10/2019,-1,-100
47204,2.63,1,1.414661342,7/24/2018,1.63,163
49943,2.27,1,1.413537131,8/1/2019,1.27,127
57032,1.69,0,1.412247462,1/2/2023,-100,-100
57388,2.46,1,1.41204087,2/16/2023,246,146
46111,1.85,0,1.411703291,3/11/2018,-1,-100
55428,1.71,0,1.411285528,5/2/2022,-100,-100
49874,1.77,0,1.411079225,7/29/2019,-1,-100
54468,2.19,1,1.409531894,1/11/2022,219,119
50425,2.19,0,1.409301357,10/7/2019,-1,-100
57146,2.18,0,1.409020953,1/16/2023,-100,-100
55455,2.55,1,1.408947258,5/4/2022,255,155
45314,2.16,1,1.408080683,10/19/2017,1.16,116
54110,1.99,1,1.407884183,10/4/2021,0.99,99
45497,1.84,0,1.407822416,1/2/2018,-1,-100
45518,2.29,1,1.407765484,1/3/2018,1.29,129
45294,1.67,0,1.407651005,10/18/2017,-1,-100
56238,2.1,0,1.406800993,8/3/2022,-100,-100
46802,1.79,0,1.40668146,6/4/2018,-1,-100
