match,PSW,win0,confidence0,date,,
53775,2.36,1,1.415770657,8/15/2021,1.36,136
50041,1.98,0,1.414864864,8/13/2019,-1,-100
48828,1.93,0,1.414211633,3/23/2019,-1,-100
53675,1.65,0,1.413925961,7/30/2021,-1,-100
57112,1.68,0,1.413882377,1/11/2023,-1,-100
43124,1.63,0,1.413586915,2/7/2017,-1,-100
51522,1.71,0,1.413523787,9/27/2020,-1,-100
55311,2.22,1,1.413421279,4/19/2022,1.22,122
43268,2.36,1,1.412933376,2/18/2017,1.36,136
49192,1.73,0,1.412930269,5/14/2019,-1,-100
45314,2.16,1,1.411820498,10/19/2017,1.16,116
50540,1.76,0,1.411497341,10/18/2019,-1,-100
49611,1.7,0,1.410893838,7/2/2019,-1,-100
43369,1.71,0,1.410780036,2/27/2017,-1,-100
51977,1.92,1,1.410777021,1/11/2021,0.92,92
52898,2.36,1,1.410472421,5/6/2021,1.36,136
55728,1.83,0,1.408737087,6/7/2022,-1,-100
54879,1.58,0,1.408312954,2/18/2022,-1,-100
54686,1.62,0,1.40809289,2/3/2022,-1,-100
49817,1.81,0,1.40779835,7/23/2019,-1,-100
43538,1.73,0,1.407229788,3/16/2017,-1,-100
49943,2.27,1,1.407007606,8/1/2019,1.27,127
48412,2.37,1,1.406657481,2/9/2019,1.37,137
47449,1.83,1,1.406551237,8/15/2018,0.83,83
50504,1.66,0,1.406523338,10/16/2019,-1,-100
49778,1.72,0,1.405725286,7/21/2019,-1,-100
43017,1.94,0,1.404917085,1/17/2017,-1,-100
50398,1.62,0,1.404743088,10/3/2019,-1,-100
48140,1.71,0,1.404702856,1/2/2019,-1,-100
52914,1.79,0,1.40367885,5/10/2021,-1,-100
55087,1.66,0,1.403589814,3/19/2022,-1,-100
55629,2.24,0,1.403118087,5/24/2022,-1,-100
44990,1.89,1,1.403029413,8/31/2017,0.89,89
46802,1.79,0,1.402636467,6/4/2018,-1,-100
51036,2,0,1.40246036,2/15/2020,-1,-100
54979,1.6,0,1.402448267,2/25/2022,-1,-100
57096,1.6,0,1.401691457,1/10/2023,-1,-100
48719,1.87,0,1.401138001,3/9/2019,-1,-100
55991,1.82,0,1.400893816,7/2/2022,-1,-100
54985,2,1,1.400604963,2/25/2022,1,100
49414,2.17,1,1.399126511,6/11/2019,1.17,117
47479,2.14,0,1.398777545,8/19/2018,-1,-100
44735,2.23,1,1.39862518,8/4/2017,1.23,123
49972,1.56,0,1.398557638,8/5/2019,-1,-100
45700,1.76,0,1.398150014,1/19/2018,-1,-100
53438,2.16,1,1.39768164,7/2/2021,1.16,116
48034,2.26,1,1.397596511,10/30/2018,1.26,126
52304,1.93,1,1.397114993,2/28/2021,0.93,93
55476,2.36,1,1.395864917,5/7/2022,1.36,136
57317,2.3,1,1.395847823,2/10/2023,1.3,130
44638,2.33,1,1.395603563,7/28/2017,1.33,133
45743,1.69,0,1.395238413,2/6/2018,-1,-100
45871,1.72,0,1.394609501,2/16/2018,-1,-100
55280,2.46,1,1.393902891,4/13/2022,1.46,146
54182,1.49,0,1.393782304,10/12/2021,-1,-100
53846,1.89,1,1.393565742,8/24/2021,0.89,89
47749,2.6,1,1.392529975,9/28/2018,1.6,160
56697,2.09,1,1.392277787,10/3/2022,1.09,109
45191,1.84,0,1.39216046,10/6/2017,-1,-100
47104,2.15,1,1.392091389,7/13/2018,1.15,115
49723,1.94,0,1.391737642,7/16/2019,-1,-100
50852,2.13,1,1.391478423,1/24/2020,1.13,113
52169,1.78,0,1.391358107,2/10/2021,-1,-100
45153,2.2,1,1.390861249,10/2/2017,1.2,120
45454,1.57,0,1.390838168,11/15/2017,-1,-100
45620,1.77,0,1.390721749,1/15/2018,-1,-100
53946,1.76,0,1.389698049,9/1/2021,-1,-100
48696,2.24,1,1.388807187,3/8/2019,1.24,124
53788,2.13,1,1.388675912,8/17/2021,1.13,113
56756,2.35,1,1.388519901,10/10/2022,1.35,135
48662,2.26,1,1.388275158,2/28/2019,1.26,126
52775,2.1,1,1.388274577,4/22/2021,1.1,110
46173,1.87,0,1.388269227,3/21/2018,-1,-100
54749,2.2,1,1.388137543,2/9/2022,1.2,120
49450,1.61,0,1.388110561,6/14/2019,-1,-100
49770,1.71,0,1.387941276,7/19/2019,-1,-100
45162,1.61,0,1.387567013,10/3/2017,-1,-100
54762,1.83,0,1.387520387,2/9/2022,-1,-100
46885,1.93,1,1.38739403,6/19/2018,0.93,93
56732,2.11,1,1.386800957,10/6/2022,1.11,111
57277,1.76,0,1.386739889,2/7/2023,-1,-100
57301,1.85,0,1.386668771,2/9/2023,-1,-100
52789,1.93,1,1.386574951,4/23/2021,0.93,93
54953,2.07,1,1.38632995,2/23/2022,1.07,107
48099,1.78,0,1.386264518,1/1/2019,-1,-100
53600,1.96,0,1.385701738,7/22/2021,-1,-100
54474,2.19,1,1.385688427,1/11/2022,1.19,119
43648,2.14,1,1.385625368,4/11/2017,1.14,114
50065,2.37,1,1.385379917,8/15/2019,1.37,137
