match,PSW,win0,confidence0,date,winner,,,,,,,,,
56911,1.65,0,1.586501653,10/25/2022,Ruusuvuori E.,,,,,,,,,
39642,1.61,0,1.585902356,8/25/2015,Coric B.,,,,,,,,,
37139,1.59,0,1.585705134,8/28/2014,Kyrgios N.,,,,,,,,,
35728,1.61,0,1.585419419,3/19/2014,Chardy J.,,,,,,,,,
37751,2.4,1,1.585095119,1/19/2015,Kokkinakis T.,,,,,,,,,
33249,1.57,0,1.584522146,3/25/2013,Cilic M.,,,,,,,,,
48640,2.62,1,1.584317082,2/27/2019,Auger-Aliassime F.,,,,,,,,,
42066,2.85,1,1.584197894,7/22/2016,Johnson S.,,,,,,,,,
30314,1.93,0,1.584107092,2/23/2012,Becker B.,,,,,,,,,
38233,1.61,0,1.583025615,3/13/2015,Baghdatis M.,,,,,,,,,
56189,2.56,1,1.581975263,7/28/2022,Bagnis F.,,,,,,,,,
42708,1.71,0,1.581691386,10/21/2016,Kohlschreiber P.,,,,,,,,,
42799,1.57,0,1.58119251,11/1/2016,Troicki V.,,,,,,,,,
48684,1.6,0,1.581000046,3/7/2019,Thompson J.,,,,,,,,,
49726,1.43,0,1.580950004,7/16/2019,Londero J.I.,,,,,,,,,
56311,2.16,1,1.580623876,8/10/2022,Cilic M.,,,,,,,,,
54023,2.31,1,1.579806739,9/22/2021,Djere L.,,,,,,,,,
39718,1.69,0,1.579700878,9/1/2015,Haase R.,,,,,,,,,
36832,1.53,0,1.578978042,7/26/2014,Monaco J.,,,,,,,,,
35444,1.72,0,1.578203625,2/15/2014,Fognini F.,,,,,,,,,
46266,2.68,1,1.577432331,4/10/2018,Basilashvili N.,,,,,,,,,
45868,1.72,0,1.577273459,2/16/2018,Goffin D.,,,,,,,,,
39512,1.74,0,1.577226713,8/10/2015,Mayer L.,,,,,,,,,
30341,2.66,1,1.576399404,2/25/2012,Llodra M.,,,,,,,,,
47646,2.47,1,1.576378365,9/5/2018,Nishikori K.,,,,,,,,,
55527,2.59,1,1.575332575,5/12/2022,Garin C.,,,,,,,,,
36908,1.71,0,1.575003737,8/1/2014,Thiem D.,,,,,,,,,
56135,2.46,1,1.574688161,7/25/2022,Zeppieri G.,,,,,,,,,
32167,2.52,1,1.574434258,10/4/2012,Lacko L.,,,,,,,,,
56360,2.46,1,1.573918844,8/16/2022,Tiafoe F.,,,,,,,,,
42343,1.57,0,1.571150199,8/30/2016,Evans D.,,,,,,,,,
43549,1.65,0,1.56956791,3/22/2017,Delbonis F.,,,,,,,,,
31011,1.75,0,1.56952804,5/22/2012,Baker B.,,,,,,,,,
47744,2.34,1,1.569380034,9/27/2018,Ebden M.,,,,,,,,,
31940,1.65,0,1.568507051,8/31/2012,Hewitt L.,,,,,,,,,
52253,1.69,0,1.567795376,2/23/2021,Etcheverry T.,,,,,,,,,
47191,1.69,0,1.567306512,7/23/2018,Auger-Aliassime F.,,,,,,,,,
42360,1.64,0,1.56721114,8/31/2016,Baghdatis M.,,,,,,,,,
50055,1.71,0,1.566341127,8/14/2019,De Minaur A.,,,,,,,,,
47747,2.65,1,1.565932278,9/28/2018,Verdasco F.,,,,,,,,,
50341,1.55,0,1.565519042,9/26/2019,Carreno Busta P.,,,,,,,,,
39305,2.76,1,1.565176741,7/22/2015,Istomin D.,,,,,,,,,
38050,2.49,1,1.564199268,2/17/2015,Carreno-Busta P.,,,,,,,,,
36092,1.63,0,1.564157045,5/8/2014,Gulbis E.,,,,,,,,,
30706,1.6,0,1.563142169,4/17/2012,Bellucci T.,,,,,,,,,
47959,1.66,0,1.562398456,10/22/2018,Fritz T.,,,,,,,,,
43649,1.47,0,1.562186273,4/12/2017,Chardy J.,,,,,,,,,
31047,2.52,1,1.560114187,5/28/2012,Troicki V.,,,,,,,,,
34409,1.69,0,1.559545189,8/7/2013,Raonic M.,,,,,,,,,
50368,2.2,1,1.55920187,10/1/2019,Albot R.,,,,,,,,,
42098,2.05,1,1.558489576,7/26/2016,Stepanek R.,,,,,,,,,
56095,1.56,0,1.558004704,7/19/2022,Ymer E.,,,,,,,,,
47935,2.37,1,1.557951187,10/19/2018,Fognini F.,,,,,,,,,
35671,1.54,0,1.556914981,3/9/2014,Robredo T.,,,,,,,,,
51928,2.29,1,1.556777224,11/19/2020,Rublev A.,,,,,,,,,
34772,2.7,1,1.556153136,10/7/2013,Granollers M.,,,,,,,,,
35002,2.06,1,1.554793096,10/31/2013,Berdych T.,,,,,,,,,
46937,1.53,0,1.554712023,6/25/2018,Sugita Y.,,,,,,,,,
30726,2.79,1,1.554268654,4/19/2012,Wawrinka S.,,,,,,,,,
51104,2.11,1,1.554123462,2/20/2020,Humbert U.,,,,,,,,,
53570,2.57,1,1.55362444,7/20/2021,Donskoy E.,,,,,,,,,
43580,2.84,1,1.552633313,3/24/2017,Vesely J.,,,,,,,,,
51522,1.71,0,1.551470853,9/27/2020,Cecchinato M.,,,,,,,,,
55146,1.69,0,1.550935705,3/26/2022,Karatsev A.,,,,,,,,,
37983,1.69,0,1.550877532,2/11/2015,Mayer L.,,,,,,,,,
37967,2.17,1,1.549576603,2/10/2015,Klizan M.,,,,,,,,,
50294,1.53,0,1.548816644,9/20/2019,Tsonga J.W.,,,,,,,,,
39588,2.4,1,1.548796892,8/18/2015,Coric B.,,,,,,,,,
54868,2.36,1,1.548790536,2/17/2022,Basilashvili N.,,,,,,,,,
55284,2.28,1,1.547319558,4/13/2022,Djere L.,,,,,,,,,
46029,1.75,0,1.547048649,2/28/2018,Kokkinakis T.,,,,,,,,,
45982,1.6,0,1.546336588,2/26/2018,Tsitsipas S.,,,,,,,,,
52941,1.85,0,1.545883381,5/12/2021,Karatsev A.,,,,,,,,,
57876,2.22,1,1.545469397,3/28/2023,Cerundolo F.,,,,,,,,,
33088,2.53,1,1.544632246,3/7/2013,Mayer L.,,,,,,,,,
44728,1.7,0,1.543766542,8/3/2017,Fritz T.,,,,,,,,,
52919,2.14,1,1.543735256,5/10/2021,Delbonis F.,,,,,,,,,
52868,2.18,1,1.543620948,5/4/2021,Ramos-Vinolas A.,,,,,,,,,
29994,2.49,1,1.543511195,1/16/2012,Karlovic I.,,,,,,,,,
56056,2.77,1,1.543060271,7/14/2022,Thiem D.,,,,,,,,,
54486,1.61,0,1.542961992,1/12/2022,Opelka R.,,,,,,,,,
46485,1.54,0,1.542486688,5/2/2018,Dutra Silva R.,,,,,,,,,
34128,2.54,1,1.542392631,7/12/2013,Dimitrov G.,,,,,,,,,
48158,1.6,0,1.541534798,1/5/2019,Bautista Agut R.,,,,,,,,,
49456,1.5,0,1.541332858,6/16/2019,Berrettini M.,,,,,,,,,
