match,PSW,win0,confidence0,date,winner,,,
55021,1.55,0,1.618123503,3/12/2022,Monfils G.,-1,-100,
30530,1.49,0,1.617676249,3/16/2012,Federer R.,-1,-100,
45224,2.33,1,1.617586743,10/10/2017,Struff J.L.,1.33,133,
53991,1.61,0,1.616563099,9/6/2021,Auger-Aliassime F.,-1,-100,
43261,2.27,1,1.616196677,2/17/2017,Monteiro T.,1.27,127,
50589,1.65,0,1.615372426,10/24/2019,Bedene A.,-1,-100,
44773,2.75,1,1.615063615,8/8/2017,Lorenzi P.,1.75,175,
52988,2.46,1,1.613534414,5/19/2021,Bedene A.,1.46,146,
50065,2.37,1,1.612990075,8/15/2019,Khachanov K.,1.37,137,
39567,2.8,1,1.612930274,8/17/2015,Paire B.,1.8,180,
57074,1.65,0,1.611464126,1/8/2023,Lestienne C.,-1,-100,
43180,1.56,0,1.609431178,2/10/2017,Bautista Agut R.,-1,-100,
44768,2.52,1,1.60909626,8/8/2017,Carreno Busta P.,1.52,152,
52999,2.58,1,1.60835167,5/20/2021,Cuevas P.,1.58,158,
33820,2.73,1,1.608119911,6/11/2013,Monfils G.,1.73,173,
49770,2.14,1,1.607404301,7/19/2019,Balazs A.,1.14,114,
43772,2.09,1,1.606423678,4/25/2017,Zeballos H.,1.09,109,
33538,1.58,0,1.606310007,5/8/2013,Haas T.,-1,-100,
46028,1.53,0,1.606080719,2/28/2018,Donaldson J.,-1,-100,
57581,2.89,1,1.604462573,3/3/2023,Medvedev D.,1.89,189,
56742,1.59,0,1.60142719,10/7/2022,Tiafoe F.,-1,-100,
38435,1.59,0,1.600711299,4/9/2015,Vesely J.,-1,-100,
38348,1.52,0,1.599903249,3/28/2015,Goffin D.,-1,-100,
32598,1.57,0,1.599602641,1/10/2013,Anderson K.,-1,-100,
38239,2.52,1,1.599552636,3/14/2015,Ramos-Vinolas A.,1.52,152,
55857,1.6,0,1.598397255,6/22/2022,Tsitsipas S.,-1,-100,
38796,2.56,1,1.598265572,5/19/2015,Istomin D.,1.56,156,
49253,1.54,0,1.598213458,5/22/2019,Fritz T.,-1,-100,
57517,2.26,1,1.59820008,2/27/2023,Munar J.,1.26,126,
42552,1.61,0,1.597741882,10/5/2016,Monaco J.,-1,-100,
37746,2.4,1,1.597262478,1/19/2015,Kokkinakis T.,1.4,140,
49422,1.59,0,1.596393913,6/11/2019,Kukushkin M.,-1,-100,
57031,1.69,0,1.596283822,1/2/2023,Draper J.,-1,-100,
48016,2.74,1,1.594907847,10/28/2018,Anderson K.,1.74,174,
42077,1.56,0,1.594180613,7/24/2016,Monfils G.,-1,-100,
56781,2.3,1,1.59295774,10/12/2022,Wolf J.J.,1.3,130,
40658,1.53,0,1.592776293,2/15/2016,Paire B.,-1,-100,
40144,2.45,1,1.59201227,10/29/2015,Sock J.,1.45,145,
44089,1.75,0,1.591898451,5/29/2017,Bolelli S.,-1,-100,
38020,1.53,0,1.591132073,2/14/2015,Anderson K.,-1,-100,
39093,1.95,1,1.590322823,6/23/2015,Groth S.,0.95,95,
53490,2.37,1,1.589013592,7/13/2021,Jung J.,1.37,137,
49936,2.19,1,1.587113333,8/1/2019,Ruud C.,1.19,119,
