match,PSW,win0,confidence0,date,winner,panel agree?,vote_percent,mean conf,correct result?,,ROI
52017,2.48,1,1.542016593,2/2/2021,Gerasimov E.,,,,,,
41661,1.57,0,1.540904427,6/15/2016,Mathieu P.H.,,,,,,
54186,1.6,0,1.540831453,10/12/2021,Hurkacz H.,,,,,,
36092,1.63,0,1.540641566,5/8/2014,Gulbis E.,,,,,,
39787,2.29,1,1.540507842,9/8/2015,Gasquet R.,,,,,,
50013,2.24,1,1.5384758,8/9/2019,Monfils G.,,,,,,
31770,1.52,0,1.538452679,8/14/2012,Nishikori K.,,,,,,
53656,2.4,1,1.538414268,7/28/2021,Mager G.,,,,,,
49449,2.6,1,1.53752598,6/14/2019,Thompson J.,,,,,,
38903,1.94,0,1.5375087,5/27/2015,Cuevas P.,,,,,,
40482,1.55,0,1.537501745,1/25/2016,Ferrer D.,,,,,,
57466,1.67,0,1.537489655,2/21/2023,Van De Zandschulp B.,,,,,,
43573,1.69,0,1.537114569,3/23/2017,Seppi A.,,,,,,
35983,1.61,0,1.537015568,4/25/2014,Nishikori K.,,,,,,
51890,1.56,0,1.536102477,11/7/2020,Medvedev D.,,,,,,
54625,1.76,0,1.535454147,1/24/2022,Auger-Aliassime F.,,,,,,
48685,1.57,0,1.534129802,3/7/2019,Querrey S.,,,,,,
51430,2.33,1,1.533897879,9/14/2020,Humbert U.,,,,,,
49084,1.59,0,1.533666607,5/1/2019,Fucsovics M.,,,,,,
54191,1.58,0,1.532919658,10/13/2021,Hurkacz H.,,,,,,
38585,2.67,1,1.532389666,4/27/2015,Coric B.,,,,,,
57830,2.08,1,1.531618067,3/26/2023,Molcan A.,1.08,,,,,
44443,1.61,0,1.531372702,7/6/2017,Donaldson J.,,,,,,
42309,2.41,1,1.530777701,8/29/2016,Pella G.,,,,,,
53243,1.68,0,1.530376184,6/15/2021,Humbert U.,,,,,,
36684,2.3,1,1.529869989,7/12/2014,Rosol L.,,,,,,
41992,2.85,1,1.528923796,7/19/2016,Brown D.,,,,,,
51371,2.44,1,1.528554793,9/4/2020,Goffin D.,,,,,,
39093,1.95,1,1.527738042,6/23/2015,Groth S.,,,,,,
50065,2.37,1,1.527649863,8/15/2019,Khachanov K.,,,,,,
38641,2.39,1,1.527274493,5/1/2015,Gasquet R.,,,,,,
36383,1.88,0,1.5271219,6/11/2014,Dolgopolov O.,,,,,,
30706,1.6,0,1.527115254,4/17/2012,Bellucci T.,,,,,,
52361,2.07,1,1.526939242,3/6/2021,Rublev A.,,,,,,
35597,2.06,1,1.526763863,2/27/2014,Klizan M.,,,,,,
57754,2.5,1,1.526449509,3/21/2023,Blancaneaux G.,1.5,,,,,
49935,2.27,1,1.526355378,8/1/2019,Sonego L.,,,,,,
56511,2.59,1,1.526243529,8/31/2022,Cachin P.,,,,,,
42402,1.73,0,1.526096561,9/4/2016,Tsonga J.W.,,,,,,
34141,2.18,1,1.524735416,7/14/2013,Hewitt L.,,,,,,
52287,1.74,0,1.524374761,2/26/2021,Coria F.,,,,,,
48495,1.58,0,1.524188882,2/15/2019,Opelka R.,,,,,,
54685,1.56,0,1.523834699,2/3/2022,Vesely J.,,,,,,
52521,1.54,0,1.523674188,3/20/2021,Karatsev A.,,,,,,
51927,2.29,1,1.523318518,11/19/2020,Rublev A.,,,,,,
38493,2.55,1,1.522870534,4/16/2015,Cilic M.,,,,,,
52072,2.41,1,1.522410249,2/4/2021,Khachanov K.,,,,,,
54881,2.36,1,1.522342333,2/17/2022,Basilashvili N.,,,,,,
50009,2.36,1,1.522307368,8/8/2019,Khachanov K.,,,,,,
36991,1.73,0,1.52188821,8/12/2014,Isner J.,,,,,,
35730,2.3,1,1.521585667,3/19/2014,Montanes A.,,,,,,
49143,2.21,1,1.520611943,5/8/2019,Verdasco F.,,,,,,
51210,2.37,1,1.520571712,2/28/2020,Fritz T.,,,,,,
49699,1.55,0,1.520258475,7/14/2019,Djokovic N.,,,,,,
49219,2.6,1,1.520208579,5/17/2019,Schwartzman D.,,,,,,
57773,1.33,0,1.51981245,3/22/2023,Altmaier D.,-1,,,,,
47172,1.63,0,1.518981149,7/20/2018,Trungelliti M.,,,,,,
42001,2.08,1,1.518709199,7/19/2016,Nishioka Y.,,,,,,
37060,1.6,0,1.517299525,8/20/2014,Lu Y.H.,,,,,,
54030,1.5,0,1.516832408,9/22/2021,Carreno Busta P.,,,,,,
51422,2.62,1,1.516344402,9/11/2020,Djere L.,,,,,,
56260,2.54,1,1.516230004,8/4/2022,Johnson S.,,,,,,
33604,2.31,1,1.515921686,5/16/2013,Granollers M.,,,,,,
42709,1.71,0,1.515832645,10/21/2016,Kohlschreiber P.,,,,,,
52671,1.76,0,1.515726126,4/11/2021,Goffin D.,,,,,,
47173,1.96,0,1.515277952,7/20/2018,Pella G.,,,,,,
