match,PSW,win0,confidence0,date,winner,,,correct pred?,
55375,1.61,0,1.800037314,4/24/2022,Alcaraz C.,-1,-50,,
47734,2.8,1,1.798414263,9/26/2018,Jaziri M.,1.8,90,,
57602,2.89,1,1.797497471,3/3/2023,Medvedev D.,1.89,94.5,,
52077,2.41,1,1.796452214,2/4/2021,Khachanov K.,1.41,70.5,,
55814,1.49,0,1.795302571,6/15/2022,Hurkacz H.,-1,-50,,
55969,1.52,0,1.793387006,6/29/2022,Goffin D.,-1,-50,,
48205,1.56,0,1.791997457,1/10/2019,Kohlschreiber P.,-1,-50,,
45114,2.66,1,1.791912769,9/27/2017,Istomin D.,1.66,83,,
55833,2.49,1,1.789281605,6/18/2022,Hurkacz H.,1.49,74.5,,
46809,1.54,0,1.787845583,6/7/2018,Del Potro J.M.,-1,-50,,
55291,1.61,0,1.784898161,4/14/2022,Schwartzman D.,-1,-50,,
53870,1.53,0,1.784110862,8/26/2021,Giron M.,-1,-50,,
49718,2.34,1,1.784036659,7/16/2019,Zverev M.,1.34,67,,
52896,2.36,1,1.7789889,5/6/2021,Garin C.,1.36,68,,
44760,2.71,1,1.777454639,8/7/2017,Donaldson J.,1.71,85.5,,
56037,2.79,1,1.776582799,7/12/2022,Karatsev A.,1.79,89.5,,
54711,2.82,1,1.774450598,2/5/2022,Tabilo A.,1.82,91,,
51511,1.39,0,1.774347899,9/25/2020,Tsitsipas S.,-1,-50,,
43715,2.7,1,1.771119872,4/18/2017,Muller G.,1.7,85,,
55008,1.54,0,1.769344386,3/10/2022,Fognini F.,-1,-50,,
45543,1.59,0,1.769006017,1/6/2018,Harrison R.,-1,-50,,
50338,2.5,1,1.768040763,9/26/2019,Bublik A.,1.5,75,,
47590,1.5,0,1.765728956,8/29/2018,Pella G.,-1,-50,,
56378,2.75,1,1.762582434,8/18/2022,Isner J.,1.75,87.5,,
46598,2.48,1,1.761661882,5/15/2018,Gojowczyk P.,1.48,74,,
57042,1.69,0,1.761582795,1/2/2023,Draper J.,-1,-50,,
46154,1.51,0,1.760036467,3/15/2018,Querrey S.,-1,-50,,
57225,2.56,1,1.759310341,1/19/2023,Murray A.,1.56,78,,
46963,2.56,1,1.75894694,6/27/2018,Edmund K.,1.56,78,,
45285,2.88,1,1.75802512,10/17/2017,Ymer E.,1.88,94,,
52685,1.61,0,1.75697849,4/13/2021,Dimitrov G.,-1,-50,,
43638,2.52,1,1.756396508,4/10/2017,Albot R.,1.52,76,,
54741,1.58,0,1.754911298,2/8/2022,Baez S.,-1,-50,,
52801,2.2,1,1.753823924,4/26/2021,Berankis R.,1.2,60,,
56723,1.65,0,1.751480379,10/4/2022,Nardi L.,-1,-50,,
43945,1.54,0,1.74993599,5/11/2017,Thiem D.,-1,-50,,
50507,1.66,0,1.74918942,10/16/2019,Mannarino A.,-1,-50,,
50543,1.63,0,1.746961332,10/19/2019,Rublev A.,-1,-50,,
53566,1.59,0,1.745207101,7/20/2021,Dzumhur D.,-1,-50,,
53268,1.43,0,1.74515606,6/17/2021,Shapovalov D.,-1,-50,,
49456,2.75,1,1.74351472,6/16/2019,Mannarino A.,1.75,87.5,,
52119,1.56,0,1.741236303,2/8/2021,Ruusuvuori E.,-1,-50,,
56292,1.57,0,1.739867006,8/9/2022,Nishioka Y.,-1,-50,,
43108,1.54,0,1.739250144,1/26/2017,Federer R.,-1,-50,,
43648,2.42,1,1.738308646,4/11/2017,Brown D.,1.42,71,,
50906,1.61,0,1.737986737,2/4/2020,Ramos-Vinolas A.,-1,-50,,
48986,1.68,0,1.735787347,4/21/2019,Fognini F.,-1,-50,,
43952,1.45,0,1.732899066,5/13/2017,Nadal R.,-1,-50,,
48568,1.52,0,1.731984175,2/21/2019,Mcdonald M.,-1,-50,,
53872,1.56,0,1.731628094,8/27/2021,Alcaraz C.,-1,-50,,
56975,1.62,0,1.731377634,10/31/2022,Norrie C.,-1,-50,,
50643,1.6,0,1.731007884,10/30/2019,Thiem D.,-1,-50,,
52089,2.59,1,1.729918572,2/5/2021,Monteiro T.,1.59,79.5,,
48072,2.57,1,1.729560197,11/15/2018,Thiem D.,1.57,78.5,,
56307,1.51,0,1.728929049,8/10/2022,Fritz T.,-1,-50,,
50542,1.52,0,1.728910004,10/19/2019,Murray A.,-1,-50,,
48071,1.49,0,1.72842747,11/14/2018,Cilic M.,-1,-50,,
52945,1.57,0,1.727703276,5/12/2021,Davidovich Fokina A.,-1,-50,,
57100,2.28,1,1.727105997,1/9/2023,Goffin D.,1.28,64,,
48193,1.58,0,1.726753606,1/9/2019,Schwartzman D.,-1,-50,,
44175,2.74,1,1.724832883,6/4/2017,Carreno Busta P.,1.74,87,,
45108,2.44,1,1.721345081,9/26/2017,Pella G.,1.44,72,,
42957,1.6,0,1.720563672,1/11/2017,Kohlschreiber P.,-1,-50,,
48594,2.76,1,1.720454416,2/24/2019,Albot R.,1.76,88,,
51411,2.48,1,1.719455492,9/10/2020,Marterer M.,1.48,74,,
