match,PSW,win0,confidence0,date,winner,,,,,,,
42558,1.61,0,1.611315011,10/5/2016,Monaco J.,,,,,,,
43580,2.84,1,1.61076954,3/24/2017,Vesely J.,,,,,,,
38954,1.54,0,1.610718937,6/8/2015,Kohlschreiber P.,,,,,,,
37744,2.4,1,1.610163374,1/19/2015,Kokkinakis T.,,,,,,,
47463,2.55,1,1.607609802,8/16/2018,Kyrgios N.,,,,,,,
36870,2.86,1,1.607453688,7/29/2014,Estrella Burgos V.,,,,,,,
50369,2.2,1,1.606300907,10/1/2019,Albot R.,,,,,,,
43926,2.23,1,1.605095207,5/9/2017,Harrison R.,,,,,,,
41815,1.4,0,1.604398113,6/30/2016,Isner J.,,,,,,,
33573,2.71,1,1.604094931,5/13/2013,Kohlschreiber P.,,,,,,,
43772,2.09,1,1.603895828,4/25/2017,Zeballos H.,,,,,,,
56511,2.59,1,1.603313756,8/31/2022,Cachin P.,,,,,,,
42309,2.41,1,1.603178853,8/29/2016,Pella G.,,,,,,,
51770,1.56,0,1.602925376,10/23/2020,Humbert U.,,,,,,,
50553,1.55,0,1.602801102,10/21/2019,Fucsovics M.,,,,,,,
46799,1.69,0,1.60219503,6/3/2018,Thiem D.,,,,,,,
37972,2.62,1,1.600991878,2/10/2015,Souza J.,,,,,,,
48207,1.56,0,1.600256473,1/10/2019,Kohlschreiber P.,,,,,,,
53568,2.37,1,1.599784108,7/20/2021,Mager G.,,,,,,,
47371,1.49,0,1.599275655,8/6/2018,Herbert P.H.,,,,,,,
35709,1.58,0,1.598302924,3/13/2014,Benneteau J.,,,,,,,
40571,2.69,1,1.596193835,2/7/2016,Bautista R.,,,,,,,
42094,2.5,1,1.595567279,7/26/2016,Young D.,,,,,,,
38565,1.79,0,1.595246911,4/23/2015,Andujar P.,,,,,,,
39374,1.49,0,1.594333003,7/28/2015,Bolelli S.,,,,,,,
47250,1.54,0,1.594296378,7/27/2018,Kovalik J.,,,,,,,
53565,1.59,0,1.594281693,7/20/2021,Dzumhur D.,,,,,,,
48687,1.6,0,1.592318143,3/7/2019,Thompson J.,,,,,,,
54197,2.48,1,1.591849098,10/14/2021,Dimitrov G.,,,,,,,
57099,1.75,0,1.564730794,1/9/2023,Kokkinakis T.,-1,-50,,,,,
51102,2.11,1,1.589969806,2/20/2020,Humbert U.,,,,,,,
57100,2.28,1,1.388997596,1/9/2023,Goffin D.,1.28,64,,,,,
52322,1.71,0,1.585492496,3/2/2021,Klein L.,,,,,,,
50391,1.59,0,1.58544595,10/2/2019,Goffin D.,,,,,,,
29900,2.62,1,1.585105839,1/6/2012,Tsonga J.W.,,,,,,,
41091,1.49,0,1.584861122,4/11/2016,Bautista Agut R.,,,,,,,
42541,1.47,0,1.584508719,10/4/2016,Baghdatis M.,,,,,,,
56551,1.55,0,1.583775862,9/3/2022,Rublev A.,,,,,,,
33317,2.65,1,1.583276349,4/13/2013,Isner J.,,,,,,,
34288,2.26,1,1.582487543,7/27/2013,Haase R.,,,,,,,
34869,2.53,1,1.581446221,10/17/2013,Haase R.,,,,,,,
32494,1.54,0,1.58101834,1/1/2013,Devvarman S.,,,,,,,
37239,2.55,1,1.580877172,9/23/2014,Matosevic M.,,,,,,,
54041,1.66,0,1.580570977,9/23/2021,Basilashvili N.,,,,,,,
47110,1.5,0,1.580558624,7/16/2018,Kudla D.,,,,,,,
54904,1.61,0,1.579629509,2/19/2022,Alcaraz C.,,,,,,,
54214,1.67,0,1.578985895,10/19/2021,Paul T.,,,,,,,
31615,2.65,1,1.578981342,7/21/2012,Haas T.,,,,,,,
56794,2.3,1,1.578431128,10/12/2022,Wolf J.J.,,,,,,,
32170,2.62,1,1.578376464,10/4/2012,Baghdatis M.,,,,,,,
42078,1.56,0,1.577637715,7/24/2016,Monfils G.,,,,,,,
37603,1.53,0,1.576490876,1/5/2015,Karlovic I.,,,,,,,
37366,1.6,0,1.575613707,10/7/2014,Klizan M.,,,,,,,
51894,1.6,0,1.575523107,11/8/2020,Albot R.,,,,,,,
53273,2.31,1,1.575436232,6/18/2021,Basilashvili N.,,,,,,,
52860,2.82,1,1.573297341,5/3/2021,Giron M.,,,,,,,
44300,2.28,1,1.573243045,6/24/2017,Lopez F.,,,,,,,
45869,1.72,0,1.5731343,2/16/2018,Goffin D.,,,,,,,
53212,2.8,1,1.572543228,6/11/2021,Djokovic N.,,,,,,,
32891,1.77,0,1.571591101,2/16/2013,Haas T.,,,,,,,
40906,1.75,0,1.571402468,3/15/2016,Thiem D.,,,,,,,
53651,2.4,1,1.570461988,7/28/2021,Mager G.,,,,,,,
50654,1.72,0,1.570162544,11/1/2019,Shapovalov D.,,,,,,,
57104,2.34,1,1.538323741,1/10/2023,Giron M.,1.34,67,,,,,
51655,2.34,1,1.568697839,10/12/2020,Karatsev A.,,,,,,,
48051,1.56,0,1.568535038,11/1/2018,Khachanov K.,,,,,,,
40481,1.55,0,1.568171854,1/25/2016,Ferrer D.,,,,,,,
35829,1.53,0,1.567302247,4/9/2014,Carreno-Busta P.,,,,,,,
51927,2.29,1,1.567134915,11/19/2020,Rublev A.,,,,,,,
39646,1.61,0,1.567066269,8/25/2015,Coric B.,,,,,,,
42702,2.3,1,1.566442616,10/21/2016,Schwartzman D.,,,,,,,
47686,1.67,0,1.566313325,9/20/2018,Basilashvili N.,,,,,,,
52993,2.46,1,1.565206928,5/19/2021,Bedene A.,,,,,,,
57109,1.57,0,1.342174294,1/10/2023,Lehecka J.,-1,-50,,,,,
54627,1.76,0,1.564225836,1/24/2022,Auger-Aliassime F.,,,,,,,
