match,PSW,win0,confidence0,date,winner,pred correct?
51768,1.76,0,1.236376223,10/23/2020,Evans D.,
48441,1.7,0,1.236293142,2/12/2019,Eubanks C.,
43663,1.85,0,1.236257147,4/13/2017,Johnson S.,
37265,1.99,0,1.236250877,9/25/2014,Nieminen J.,
31003,1.88,0,1.236201381,5/19/2012,Djokovic N.,
49063,1.77,0,1.236160556,4/29/2019,Nishioka Y.,
47970,1.78,0,1.23614261,10/23/2018,Verdasco F.,
37462,2.3,0,1.236038463,10/17/2014,Kukushkin M.,
32761,1.96,1,1.235883443,2/5/2013,Zemlja G.,
45125,2.13,0,1.235850135,9/28/2017,Baghdatis M.,
34649,3.2,0,1.235812452,9/4/2013,Gasquet R.,
36605,2.09,0,1.235744506,7/7/2014,Ram R.,
39070,1.74,0,1.235699812,6/21/2015,Istomin D.,
55916,2.36,1,1.235678656,6/28/2022,Gray A.,
38315,1.63,1,1.235665177,3/25/2015,Duckworth J.,
38405,2.09,1,1.235612858,4/7/2015,Johnson S.,
36244,1.99,1,1.235521819,5/26/2014,Kamke T.,
33420,1.98,1,1.23548215,4/24/2013,Paire B.,
38019,2.29,0,1.235340522,2/13/2015,Cuevas P.,
38900,1.68,1,1.235307999,5/27/2015,Simon G.,
55601,1.65,1,1.235213895,5/22/2022,Fognini F.,
54036,1.66,0,1.235147375,9/23/2021,Basilashvili N.,
45852,1.87,0,1.235093425,2/14/2018,Rublev A.,
37810,1.88,0,1.234972408,1/21/2015,Sela D.,
36046,2.34,1,1.234920635,5/4/2014,Chardy J.,
53665,1.66,0,1.234900016,7/29/2021,Altmaier D.,
47354,1.63,1,1.234870611,8/3/2018,Fognini F.,
33682,1.65,1,1.234839204,5/26/2013,Kavcic B.,
43668,1.78,0,1.234815431,4/13/2017,Kohlschreiber P.,
57047,1.58,1,1.234784797,1/2/2023,Kecmanovic M.,
54090,1.89,0,1.234775234,9/30/2021,Schwartzman D.,
48915,1.94,1,1.234666617,4/11/2019,Ruud C.,
55314,1.61,0,1.234654394,4/18/2022,Gerasimov E.,
34940,2.16,0,1.234451665,10/24/2013,Pospisil V.,
42726,1.85,0,1.234439545,10/24/2016,Karlovic I.,
34875,2.74,0,1.234402922,10/17/2013,Gabashvili T.,
