match,PSW,win0,confidence0,date,winner,,,
56264,2.54,1,1.772874957,8/4/2022,Johnson S.,1.54,77,
44216,1.62,0,1.772684542,6/14/2017,Kohlschreiber P.,-1,-50,
44616,2.82,1,1.771873198,7/27/2017,Hanfmann Y.,1.82,91,
47210,1.66,0,1.771389706,7/24/2018,Gasquet R.,-1,-50,
44061,2.71,1,1.770258312,5/26/2017,Berdych T.,1.71,85.5,
53872,1.56,0,1.769688508,8/27/2021,Alcaraz C.,-1,-50,
54900,2.64,1,1.769069123,2/19/2022,Millman J.,1.64,82,
52589,1.66,0,1.767420871,3/28/2021,Sinner J.,-1,-50,
52757,1.54,0,1.767273975,4/20/2021,Shapovalov D.,-1,-50,
48593,2.76,1,1.767077038,2/24/2019,Albot R.,1.76,88,
54664,1.44,0,1.76355204,2/1/2022,Munar J.,-1,-50,
49748,2.6,1,1.763445648,7/17/2019,Ramos-Vinolas A.,1.6,80,
51991,1.76,0,1.763040052,1/13/2021,Korda S.,-1,-50,
50503,1.66,0,1.762344372,10/16/2019,Mannarino A.,-1,-50,
45478,1.44,0,1.761705869,1/1/2018,Zverev M.,-1,-50,
45502,1.84,0,1.761310619,1/2/2018,Mmoh M.,-1,-50,
46904,4.3,1,1.761301677,6/20/2018,Sugita Y.,3.3,165,
50850,1.56,0,1.76119564,1/23/2020,Verdasco F.,-1,-50,
45105,2.42,1,1.759059587,9/26/2017,Istomin D.,1.42,71,
49731,2.34,1,1.75847881,7/16/2019,Zverev M.,1.34,67,
46963,2.56,1,1.758240852,6/27/2018,Edmund K.,1.56,78,
53968,1.5,0,1.757934756,9/2/2021,Schwartzman D.,-1,-50,
47637,2.43,1,1.755888593,9/2/2018,Thiem D.,1.43,71.5,
55735,2.81,1,1.754860226,6/7/2022,Van Rijthoven T.,1.81,90.5,
51811,2.55,1,1.753909506,10/28/2020,Anderson K.,1.55,77.5,
50914,2.69,1,1.75290446,2/5/2020,Moutet C.,1.69,84.5,
47141,1.57,0,1.751253271,7/18/2018,Lajovic D.,-1,-50,
51491,2.51,1,1.7481952,9/22/2020,Bublik A.,1.51,75.5,
57418,1.64,0,1.74717377,2/17/2023,Medvedev D.,-1,-50,
44533,2.37,1,1.74475131,7/19/2017,Kuznetsov An.,1.37,68.5,
53478,1.48,0,1.742079804,7/13/2021,Sandgren T.,-1,-50,
