match,PSW,win0,confidence0,date,winner,underdog,conf1.2+
46603,2.39,0,1.009685554,5/15/2018,Tsitsipas S.,,
48524,1.92,0,1.009674763,2/19/2019,Ramos-Vinolas A.,,
35528,4.76,0,1.009674267,2/22/2014,Dolgopolov O.,,
40887,1.17,1,1.009672423,3/13/2016,Bautista R.,,
32734,1.07,1,1.009657657,1/23/2013,Murray A.,,
43180,1.32,1,1.009657147,2/10/2017,Ramos-Vinolas A.,,
55343,2.96,0,1.009655565,4/20/2022,Harris L.,,
55628,2.17,0,1.009655466,5/23/2022,Krajinovic F.,,
30315,4.59,0,1.009643088,2/23/2012,Malisse X.,,
52800,1.36,1,1.009630647,4/26/2021,Davidovich Fokina A.,,
38280,1.15,1,1.009626436,3/17/2015,Nadal R.,,
43542,1.3,1,1.009614973,3/18/2017,Wawrinka S.,,
35552,1.17,1,1.009603702,2/25/2014,Tsonga J.W.,,
42979,1.6,1,1.009601116,1/13/2017,Sock J.,,
31883,1.08,1,1.009597522,8/28/2012,Cilic M.,,
47624,1.07,1,1.009582446,8/31/2018,Cilic M.,,
54061,1.74,1,1.009581123,9/28/2021,Sonego L.,,
37751,1.28,1,1.009571533,1/19/2015,Karlovic I.,,
41757,1.29,1,1.009570392,6/27/2016,Dimitrov G.,,
30196,1.57,1,1.009570096,2/14/2012,Kohlschreiber P.,,
47557,1.24,1,1.009569325,8/28/2018,Fognini F.,,
52385,1.41,1,1.009505473,3/9/2021,Varillas J. P.,,
37485,1.76,1,1.009500165,10/21/2014,Robredo T.,,
50934,1.43,1,1.009487125,2/6/2020,Garin C.,,
44501,1.74,1,1.009484235,7/18/2017,Lacko L.,,
42777,1.12,1,1.009481163,10/29/2016,Murray A.,,
38619,1.06,1,1.009457139,4/29/2015,Federer R.,,
47531,1.24,1,1.009448726,8/27/2018,Anderson K.,,
36908,1.66,1,1.009437486,8/1/2014,Thiem D.,,
31721,2.97,0,1.009431249,8/7/2012,Pospisil V.,,
33404,1.17,1,1.009410738,4/23/2013,Ramos A.,,
52439,1.35,1,1.009392347,3/12/2021,Medvedev D.,,
46967,2.74,0,1.009388112,6/28/2018,Cecchinato M.,,
45526,1.19,1,1.009385153,1/4/2018,Cilic M.,,
32683,1.21,1,1.009365298,1/16/2013,Benneteau J.,,
42614,1.34,1,1.009334192,10/12/2016,Bautista Agut R.,,
30008,1.1,1,1.009320532,1/17/2012,Tsonga J.W.,,
31659,2.66,0,1.009316418,7/26/2012,Odesnik W.,,
42698,1.11,1,1.009307626,10/20/2016,Dimitrov G.,,
56560,1.21,1,1.009298111,9/6/2022,Sinner J.,,
35252,1.09,1,1.009295272,1/16/2014,Nishikori K.,,
35714,1.21,1,1.009294289,3/15/2014,Djokovic N.,,
41006,1.15,1,1.009289868,3/28/2016,Kyrgios N.,,
57340,1.14,1,1.009273671,2/10/2023,Fritz T.,,
51928,1.43,1,1.00924501,11/19/2020,Nadal R.,,
36525,1.65,1,1.009233358,6/24/2014,Rosol L.,,
41525,2.94,0,1.009228059,5/25/2016,Gabashvili T.,,
41868,1.16,1,1.009175204,7/11/2016,Zemlja G.,,
50494,1.33,1,1.009150518,10/15/2019,Copil M.,,
38279,1.41,1,1.009144114,3/17/2015,Raonic M.,,
49068,8,0,1.009142772,4/30/2019,Kudla D.,,
36422,3.14,0,1.009085749,6/16/2014,De Bakker T.,,
55555,3.14,0,1.009082211,5/16/2022,Cecchinato M.,,
29836,1.63,1,1.009081605,1/2/2012,Seppi A.,,
44048,1.24,1,1.009077731,5/24/2017,Querrey S.,,
51835,2.6,0,1.009046621,10/31/2020,Sonego L.,,
31526,3.28,0,1.009044242,7/14/2012,Granollers M.,,
32834,2.76,0,1.009040747,2/12/2013,Becker B.,,
32084,4,0,1.009032444,9/29/2012,Benneteau J.,,
41799,1.09,1,1.009027424,6/29/2016,Berdych T.,,
33000,2.5,0,1.009027411,2/25/2013,Dodig I.,,
36804,4.14,0,1.009015056,7/23/2014,Lacko L.,,
52290,6.57,0,1.009012211,2/26/2021,Ramos-Vinolas A.,,
30608,1.38,1,1.009003318,3/26/2012,Gasquet R.,,
31929,1.19,1,1.008999459,8/30/2012,Almagro N.,,
54271,1.51,1,1.008998375,10/26/2021,Tsitsipas S.,,
46474,1.62,1,1.008990718,5/1/2018,Tsitsipas S.,,
43288,2.14,0,1.008987389,2/21/2017,Gombos N.,,
47046,2.37,0,1.008965772,7/4/2018,Struff J.L.,,
44653,3.6,0,1.008926274,7/31/2017,Laaksonen H.,,
54237,1.37,1,1.008923434,10/21/2021,Karatsev A.,,
34925,1.61,1,1.008891148,10/23/2013,Mathieu P.H.,,
35521,1.13,1,1.008878364,2/21/2014,Cilic M.,,
50653,1.15,1,1.008878107,11/1/2019,Nadal R.,,
57355,1.67,1,1.008874529,2/13/2023,Monteiro T.,,
43691,1.16,1,1.008871238,4/16/2017,Goffin D.,,
36660,1.3,1,1.008867398,7/10/2014,Karlovic I.,,
31434,2.04,1,1.008867129,7/9/2012,Bachinger M.,,
31757,1.23,1,1.008867094,8/13/2012,Cilic M.,,
53153,2,0,1.008864306,6/3/2021,Cecchinato M.,,
55879,3.43,0,1.008853989,6/23/2022,Bellier A.,,
49966,1.54,1,1.008836771,8/5/2019,Shapovalov D.,,
39192,1.09,1,1.00882731,7/1/2015,Gasquet R.,,
49550,1.55,1,1.008825964,6/26/2019,Carreno Busta P.,,
47375,2.59,0,1.00882092,8/6/2018,Polansky P.,,
39027,1.32,1,1.008819989,6/16/2015,Cilic M.,,
40176,1.22,1,1.00881945,11/3/2015,Ferrer D.,,
44352,1.38,1,1.008807012,6/29/2017,Seppi A.,,
42117,1.12,1,1.008804379,7/27/2016,Tomic B.,,
51258,1.17,1,1.008799639,8/25/2020,Djokovic N.,,
46905,1.58,1,1.008783823,6/21/2018,Kyrgios N.,,
32879,9.6,0,1.00877345,2/15/2013,Benneteau J.,,
53606,1.68,1,1.008767539,7/23/2021,Gasquet R.,,
51820,1.55,1,1.008762212,10/29/2020,Mcdonald M.,,
50947,1.26,1,1.008756559,2/7/2020,Londero J.I.,,
49179,1.73,0,1.008753248,5/13/2019,Shapovalov D.,,
50481,1.57,1,1.008751101,10/15/2019,Krajinovic F.,,
33497,1.13,1,1.008737192,5/3/2013,Wawrinka S.,,
50355,1.24,1,1.008728444,9/30/2019,Cilic M.,,
54923,1.63,1,1.00871453,2/22/2022,Shapovalov D.,,
39810,1.76,1,1.008688425,9/23/2015,Bolelli S.,,
39012,1.78,0,1.008687602,6/15/2015,Mayer F.,,
35696,1.45,1,1.008677027,3/11/2014,Bautista R.,,
54489,1.43,1,1.008670139,1/12/2022,Paul T.,,
46682,1.71,1,1.008668282,5/25/2018,Simon G.,,
47010,1.29,1,1.008652776,7/2/2018,Muller G.,,
44895,1.25,1,1.008633737,8/23/2017,Isner J.,,
42973,3.8,0,1.008624159,1/12/2017,Evans D.,,
40101,1.18,1,1.008619543,10/24/2015,Cilic M.,,
46871,1.59,1,1.008612082,6/18/2018,Kudla D.,,
33839,3.97,0,1.008609783,6/12/2013,Evans D.,,
54334,1.32,1,1.008595531,11/2/2021,Schwartzman D.,,
45599,2.13,0,1.008589987,1/13/2018,Medvedev D.,,
39200,1.21,1,1.008579811,7/2/2015,Troicki V.,,
31198,1.42,1,1.008576668,6/13/2012,Ito T.,,
48720,1.52,1,1.008561345,3/9/2019,Djere L.,,
33024,4.17,0,1.008552012,2/26/2013,Karlovic I.,,
43896,1.67,1,1.008547068,5/6/2017,Carreno Busta P.,,
40550,1.28,1,1.008546153,2/4/2016,Muller G.,,
32344,1.14,1,1.008538217,10/20/2012,Del Potro J.M.,,
51510,1.65,1,1.008536574,9/25/2020,Rublev A.,,
53327,3.08,0,1.008518318,6/24/2021,Purcell M.,,
44549,5.61,0,1.008510298,7/21/2017,Dodig I.,,
50784,1.12,1,1.008510084,1/21/2020,Zverev A.,,
40659,1.28,1,1.008498808,2/15/2016,Mannarino A.,,
41000,1.13,1,1.008495173,3/27/2016,Thiem D.,,
55346,1.71,1,1.008490716,4/20/2022,Fucsovics M.,,
