match,PSW,win0,confidence0,date,winner,,,correct pred?,,
47349,2.05,1,1.509486464,8/3/2018,Kudla D.,1.05,105,,,
55843,1.63,0,1.508215063,6/20/2022,Ivashka I.,-1,-100,,,
45663,1.59,0,1.50807743,1/16/2018,Marterer M.,-1,-100,,,
47308,2.52,1,1.507602696,8/1/2018,Copil M.,1.52,152,,,
52312,2.1,1,1.507321559,3/1/2021,Djere L.,1.1,110,,,
51898,1.87,0,1.507070399,11/9/2020,Karatsev A.,-1,-100,,,
57166,2.43,1,1.506661061,1/16/2023,Etcheverry T.,1.43,143,,1.43,71.5
50680,1.6,0,1.506209008,1/6/2020,Moutet C.,-1,-100,,,
50054,1.71,0,1.506145769,8/14/2019,De Minaur A.,-1,-100,,,
46604,1.72,0,1.505776403,5/15/2018,Pouille L.,-1,-100,,,
46802,1.79,0,1.505760364,6/4/2018,Schwartzman D.,-1,-100,,,
54213,1.67,0,1.503746085,10/19/2021,Paul T.,-1,-100,,,
56382,2.22,1,1.503348051,8/18/2022,Korda S.,1.22,122,,,
49551,1.75,0,1.503255822,6/26/2019,Simon G.,-1,-100,,,
56512,2.59,1,1.503162769,8/31/2022,Cachin P.,1.59,159,,,
57025,2.51,1,1.503139292,11/16/2022,Tsitsipas S.,1.51,151,,,
52359,1.67,0,1.502849808,3/5/2021,Ramos-Vinolas A.,-1,-100,,,
53845,1.89,1,1.500186093,8/24/2021,Ruusuvuori E.,0.89,89,,,
51370,1.58,0,1.499466766,9/4/2020,Auger-Aliassime F.,-1,-100,,,
47157,2.24,1,1.497597227,7/19/2018,Haase R.,1.24,124,,,
45226,2.33,1,1.497527286,10/10/2017,Struff J.L.,1.33,133,,,
56695,1.67,0,1.497403957,10/1/2022,Shapovalov D.,-1,-100,,,
43288,2.33,1,1.497223197,2/21/2017,Marchenko I.,1.33,133,,,
56978,1.56,0,1.496906726,11/1/2022,Khachanov K.,-1,-100,,,
52924,2.14,1,1.49642554,5/10/2021,Delbonis F.,1.14,114,,,
47288,1.66,0,1.496089125,7/31/2018,De Minaur A.,-1,-100,,,
46900,2.66,1,1.496074249,6/20/2018,Kudla D.,1.66,166,,,
43239,1.71,0,1.495812082,2/16/2017,Thiem D.,-1,-100,,,
48859,1.87,0,1.495760176,3/26/2019,Auger-Aliassime F.,-1,-100,,,
47428,1.66,0,1.494486341,8/13/2018,Paire B.,-1,-100,,,
51218,1.87,1,1.492649992,2/29/2020,Fritz T.,0.87,87,,,
47669,1.68,0,1.49232157,9/19/2018,Youzhny M.,-1,-100,,,
51308,1.8,0,1.491739098,9/1/2020,Mmoh M.,-1,-100,,,
51802,2.55,1,1.490395948,10/28/2020,Anderson K.,1.55,155,,,
45082,2.29,1,1.489582501,9/23/2017,Gojowczyk P.,1.29,129,,,
52896,2.36,1,1.48931849,5/6/2021,Garin C.,1.36,136,,,
53560,1.59,0,1.489135865,7/20/2021,Dzumhur D.,-1,-100,,,
47296,1.83,0,1.489083639,7/31/2018,Berrettini M.,-1,-100,,,
47997,1.61,0,1.485949169,10/25/2018,Nishikori K.,-1,-100,,,
56057,2.77,1,1.485025935,7/14/2022,Thiem D.,1.77,177,,,
51927,2.29,1,1.484675611,11/19/2020,Rublev A.,1.29,129,,,
47896,2.33,1,1.483772033,10/16/2018,Klahn B.,1.33,133,,,
53137,1.81,0,1.481746221,6/2/2021,Opelka R.,-1,-100,,,
51365,2.44,1,1.481631365,9/3/2020,Tiafoe F.,1.44,144,,,
53209,1.57,0,1.481080367,6/10/2021,Auger-Aliassime F.,-1,-100,,,
46928,2.37,1,1.480945625,6/25/2018,Istomin D.,1.37,137,,,
51978,1.68,0,1.47920494,1/11/2021,Harrison C.,-1,-100,,,
45549,2.38,1,1.47775076,1/7/2018,Lorenzi P.,1.38,138,,,
52061,2.22,1,1.477633261,2/3/2021,Cuevas P.,1.22,122,,,
56164,1.56,0,1.476385166,7/27/2022,Tiafoe F.,-1,-100,,,
55249,2.05,1,1.476019267,4/10/2022,Goffin D.,1.05,105,,,
53274,2.31,1,1.474523507,6/18/2021,Basilashvili N.,1.31,131,,,
51570,2.03,0,1.474305517,9/29/2020,Harris L.,-1,-100,,,
51179,1.87,0,1.474182006,2/26/2020,Fritz T.,-1,-100,,,
